"","RegionID","YearBuilt","CountStructures"
"1","28380","1970",3706
"2","276351","1920",2724
"3","271411","1970",2513
"4","271326","1970",2311
"5","403529","1970",2234
"6","403542","1970",2025
"7","271467","1970",1974
"8","403558","1970",1892
"9","232166","1970",1855
"10","403541","1950",1813
"11","276351","1970",1729
"12","47651","1970",1602
"13","403538","1970",1567
"14","28380","1978",1537
"15","403536","1950",1535
"16","403545","1970",1526
"17","271573","1955",1476
"18","271326","1960",1470
"19","271409","1970",1464
"20","28380","1982",1463
"21","271573","1950",1398
"22","238122","1970",1385
"23","235286","1930",1384
"24","403553","1970",1346
"25","403556","1970",1313
"26","403541","1970",1305
"27","403540","1960",1237
"28","238880","1960",1227
"29","28380","1980",1222
"30","403545","1955",1220
"31","271280","1970",1204
"32","28380","1977",1185
"33","271411","1978",1165
"34","403552","1970",1152
"35","271326","0",1149
"36","403545","1950",1127
"37","403540","1970",1108
"38","403557","1970",1104
"39","403543","0",1070
"40","276351","1930",1063
"41","271510","1940",1041
"42","238116","1955",1027
"43","403533","1955",1024
"44","403555","1970",1016
"45","403550","1940",1013
"46","271467","1968",1001
"47","403538","1950",1000
"48","271326","1965",979
"49","271404","0",973
"50","403543","1940",968
"51","403542","1978",952
"52","28380","1975",950
"53","403537","1983",931
"54","238122","1983",913
"55","403534","1955",900
"56","403541","1955",900
"57","28380","1979",899
"58","271280","0",892
"59","28380","1969",892
"60","403551","1955",891
"61","271467","1965",875
"62","403543","1950",872
"63","28380","1972",867
"64","403542","1983",866
"65","28380","1976",862
"66","403556","1983",860
"67","403552","0",856
"68","403542","1977",853
"69","403528","1970",851
"70","271584","1970",849
"71","232166","1978",841
"72","28380","1971",839
"73","403538","1955",838
"74","232872","1970",816
"75","271326","2005",816
"76","276351","0",814
"77","47651","1977",806
"78","235537","1960",803
"79","271326","2006",791
"80","276351","1940",791
"81","403556","1975",791
"82","403553","1981",787
"83","271411","1981",784
"84","271467","1977",784
"85","28380","1968",782
"86","271355","0",778
"87","271404","1940",777
"88","403546","0",768
"89","236058","1950",762
"90","403541","0",757
"91","238116","1950",751
"92","271409","1972",750
"93","232872","1950",749
"94","403550","1950",749
"95","238116","1970",746
"96","232166","1989",740
"97","403558","1971",740
"98","403546","1950",733
"99","403552","2005",733
"100","271467","1969",728
"101","271467","1967",725
"102","236058","1970",709
"103","271510","0",703
"104","271411","1977",702
"105","28380","1973",702
"106","403553","1982",697
"107","28380","1981",696
"108","403534","1952",687
"109","238122","1979",677
"110","403550","0",677
"111","403556","1979",673
"112","403556","1978",672
"113","238122","1980",669
"114","403541","1960",651
"115","403535","1950",650
"116","271573","1970",648
"117","403553","1983",642
"118","238122","1978",641
"119","232166","1988",633
"120","232166","1980",630
"121","238122","1975",630
"122","271410","0",629
"123","276351","2014",628
"124","403542","1975",628
"125","403537","1984",627
"126","271573","1952",623
"127","403539","0",623
"128","403538","1960",616
"129","271510","1970",615
"130","28380","1983",608
"131","403542","1982",602
"132","47651","1979",598
"133","271411","1965",596
"134","271583","0",596
"135","403542","1981",596
"136","238880","1965",595
"137","271280","1950",595
"138","271404","1970",593
"139","271467","1979",592
"140","403558","2005",592
"141","271583","1970",589
"142","47651","1964",589
"143","232166","1977",585
"144","271510","1930",585
"145","403558","2006",585
"146","271583","1950",582
"147","235537","1970",581
"148","47651","1965",579
"149","403555","1965",577
"150","271585","1970",571
"151","403530","1970",569
"152","403542","1980",565
"153","403536","1940",559
"154","271326","2004",557
"155","271406","1970",557
"156","403543","1970",555
"157","403552","2006",553
"158","403542","1988",551
"159","47651","1968",551
"160","271280","1940",544
"161","237635","1940",540
"162","271305","1970",540
"163","232166","1979",539
"164","271467","1960",536
"165","232166","1982",533
"166","271404","1930",533
"167","271443","1940",532
"168","403552","2004",532
"169","403558","1965",532
"170","28380","1974",531
"171","403542","1990",527
"172","232166","1983",526
"173","47651","1982",524
"174","403528","1969",523
"175","271409","1976",519
"176","403556","1977",519
"177","238116","0",517
"178","238122","1977",517
"179","276351","2013",517
"180","235286","1938",516
"181","232166","1987",515
"182","232166","1976",514
"183","403542","1976",514
"184","271411","2003",513
"185","403542","1984",513
"186","403542","1989",510
"187","403546","1940",509
"188","271409","1974",506
"189","403538","0",499
"190","232166","1986",496
"191","403542","1979",495
"192","403547","1970",495
"193","276351","2007",493
"194","403552","2007",493
"195","271467","1976",492
"196","235537","1963",491
"197","403536","1955",490
"198","271410","1930",489
"199","271510","1950",489
"200","403541","1940",489
"201","403552","1930",488
"202","403557","0",488
"203","47651","1966",488
"204","271411","1973",486
"205","403556","1982",486
"206","403558","2007",486
"207","403534","1950",484
"208","47651","1967",481
"209","271560","0",479
"210","271443","1950",476
"211","276351","1925",476
"212","403553","1980",476
"213","238122","1972",475
"214","232166","1995",472
"215","403542","1991",468
"216","232166","1981",464
"217","271406","0",464
"218","403541","1956",464
"219","403545","1960",464
"220","403552","2013",461
"221","403528","1978",459
"222","271326","1955",458
"223","403558","2004",456
"224","232166","1990",455
"225","403541","1948",455
"226","271585","1960",454
"227","403543","1945",454
"228","403542","1985",453
"229","403557","1930",453
"230","236490","1940",452
"231","403545","1949",452
"232","271326","2007",445
"233","271458","1950",445
"234","271439","1940",444
"235","271467","1964",444
"236","271615","1940",443
"237","403528","1979",443
"238","271448","2006",442
"239","403558","2003",442
