"","RegionID","YearBuilt","LU_desc","CountStructures"
"1","276351","1920","RES IMPRVD",2437
"2","28380","1970","RESIDENTIAL MOBILE HOMES",2390
"3","403529","1970","RESIDENTIAL MOBILE HOMES",2180
"4","403542","1970","RESIDENTIAL MOBILE HOMES",1932
"5","271326","1970","RESIDENTIAL MOBILE HOMES",1829
"6","271411","1970","RESIDENTIAL MOBILE HOMES",1727
"7","403541","1950","RES IMPRVD",1719
"8","276351","1970","RESIDENTIAL MOBILE HOMES",1637
"9","232166","1970","RESIDENTIAL MOBILE HOMES",1594
"10","271467","1970","RESIDENTIAL MOBILE HOMES",1448
"11","271573","1955","RES IMPRVD",1421
"12","271326","1960","RES IMPRVD",1413
"13","403536","1950","RES IMPRVD",1382
"14","271573","1950","RES IMPRVD",1346
"15","403558","1970","RESIDENTIAL MOBILE HOMES",1307
"16","47651","1970","RESIDENTIAL MOBILE HOMES",1262
"17","403553","1970","RESIDENTIAL MOBILE HOMES",1229
"18","238880","1960","RES IMPRVD",1205
"19","403540","1960","RES IMPRVD",1205
"20","403545","1955","RES IMPRVD",1201
"21","403541","1970","RESIDENTIAL MOBILE HOMES",1196
"22","235286","1930","RES IMPRVD",1173
"23","403545","1970","RESIDENTIAL MOBILE HOMES",1135
"24","403552","1970","RESIDENTIAL MOBILE HOMES",1129
"25","238122","1970","RESIDENTIAL MOBILE HOMES",1111
"26","403538","1970","RESIDENTIAL MOBILE HOMES",1108
"27","28380","1970","RES IMPRVD",1057
"28","403545","1950","RES IMPRVD",1054
"29","403533","1955","RES IMPRVD",1012
"30","403557","1970","RESIDENTIAL MOBILE HOMES",982
"31","271411","1978","CONDO LAND",965
"32","28380","1978","RES IMPRVD",945
"33","403542","1978","RES IMPRVD",937
"34","403538","1950","RES IMPRVD",936
"35","271326","1965","RES IMPRVD",932
"36","403537","1983","CONDO LAND",922
"37","271510","1940","RES IMPRVD",917
"38","276351","1930","RES IMPRVD",917
"39","403550","1940","RES IMPRVD",902
"40","238116","1955","RES IMPRVD",890
"41","403551","1955","RES IMPRVD",888
"42","403534","1955","RES IMPRVD",887
"43","28380","1969","RES IMPRVD",884
"44","403556","1970","RESIDENTIAL MOBILE HOMES",882
"45","403541","1955","RES IMPRVD",867
"46","403543","1940","RES IMPRVD",865
"47","271467","1965","RES IMPRVD",864
"48","28380","1982","RES IMPRVD",856
"49","403542","1983","RES IMPRVD",844
"50","403542","1977","RES IMPRVD",812
"51","271326","2005","RES IMPRVD",789
"52","28380","1968","RES IMPRVD",778
"53","271326","2006","RES IMPRVD",775
"54","403543","0","GOVERNMENTAL EXEMPT",768
"55","403538","1955","RES IMPRVD",763
"56","403543","1950","RES IMPRVD",755
"57","235537","1960","RES IMPRVD",754
"58","271280","1970","RESIDENTIAL MOBILE HOMES",749
"59","271409","1970","RES IMPRVD",745
"60","271467","1968","RES IMPRVD",739
"61","28380","1980","RES IMPRVD",737
"62","403558","1971","RES IMPRVD",737
"63","232166","1989","RES IMPRVD",728
"64","28380","1972","RES IMPRVD",723
"65","403528","1970","RESIDENTIAL MOBILE HOMES",721
"66","236058","1950","RES IMPRVD",708
"67","232872","1950","RES IMPRVD",707
"68","271409","1970","RESIDENTIAL MOBILE HOMES",701
"69","403556","1983","CONDO LAND",698
"70","403540","1970","RESIDENTIAL MOBILE HOMES",692
"71","403555","1970","RESIDENTIAL MOBILE HOMES",688
"72","403534","1952","RES IMPRVD",683
"73","28380","1971","RES IMPRVD",679
"74","271411","1970","CONDO LAND",671
"75","238116","1970","RESIDENTIAL MOBILE HOMES",669
"76","403550","1950","RES IMPRVD",659
"77","28380","1975","RES IMPRVD",649
"78","403546","1950","RES IMPRVD",642
"79","236058","1970","RESIDENTIAL MOBILE HOMES",639
"80","232166","1978","RES IMPRVD",637
"81","232166","1988","RES IMPRVD",632
"82","28380","1977","RES IMPRVD",632
"83","271404","1940","RES IMPRVD",631
"84","271573","1970","RESIDENTIAL MOBILE HOMES",629
"85","271411","1981","CONDO LAND",628
"86","403553","1982","RES IMPRVD",621
"87","47651","1977","CONDO LAND",621
"88","403535","1950","RES IMPRVD",619
"89","403537","1984","CONDO LAND",618
"90","238116","1950","RES IMPRVD",616
"91","276351","2014","RES IMPRVD",615
"92","276351","1940","RES IMPRVD",613
"93","403553","1983","RES IMPRVD",613
"94","403542","1975","RES IMPRVD",611
"95","271573","1952","RES IMPRVD",603
"96","403552","2005","RES IMPRVD",603
"97","403542","1981","RES IMPRVD",588
"98","271510","1970","RESIDENTIAL MOBILE HOMES",579
"99","403541","1960","RES IMPRVD",578
"100","403558","2005","RES IMPRVD",576
"101","271404","0","GOVERNMENTAL EXEMPT",575
"102","403558","1970","RES IMPRVD",571
"103","403542","1982","RES IMPRVD",569
"104","403558","2006","RES IMPRVD",567
"105","271404","1970","RESIDENTIAL MOBILE HOMES",566
"106","232872","1970","RESIDENTIAL MOBILE HOMES",564
"107","403555","1965","RES IMPRVD",563
"108","271411","1977","CONDO LAND",562
"109","271409","1972","RES IMPRVD",561
"110","235537","1970","RESIDENTIAL MOBILE HOMES",559
"111","271467","1967","RES IMPRVD",559
"112","403553","1981","RES IMPRVD",559
"113","403542","1980","RES IMPRVD",551
"114","271583","1970","RESIDENTIAL MOBILE HOMES",549
"115","271584","1970","RES IMPRVD",549
"116","403542","1988","RES IMPRVD",546
"117","271406","1970","RES IMPRVD",538
"118","271326","0","GOVERNMENTAL EXEMPT",532
"119","271326","2004","RES IMPRVD",532
"120","232166","1980","RES IMPRVD",530
"121","403558","1965","RES IMPRVD",524
"122","271467","1960","RES IMPRVD",521
"123","47651","1965","RES IMPRVD",521
"124","271280","1950","RES IMPRVD",520
"125","238122","1978","RES IMPRVD",519
"126","403542","1990","RES IMPRVD",516
"127","403552","0","GOVERNMENTAL EXEMPT",516
"128","276351","2013","RES IMPRVD",513
"129","403538","1960","RES IMPRVD",512
"130","232166","1987","RES IMPRVD",511
"131","271411","1965","CONDO LAND",509
"132","403536","1940","RES IMPRVD",507
"133","28380","1979","RES IMPRVD",505
"134","47651","1968","RES IMPRVD",505
"135","271280","0","GOVERNMENTAL EXEMPT",501
"136","403542","1989","RES IMPRVD",498
"137","271583","1950","RES IMPRVD",497
"138","28380","1981","RES IMPRVD",497
"139","28380","1977","RESIDENTIAL IMPROVED -SINGLE FAMILY",495
"140","47651","1982","CONDO LAND",494
"141","403542","1976","RES IMPRVD",492
"142","235537","1963","RES IMPRVD",490
"143","271510","1930","RES IMPRVD",490
"144","403542","1979","RES IMPRVD",489
"145","232166","1986","RES IMPRVD",486
"146","271583","0","GOVERNMENTAL EXEMPT",485
"147","403543","1970","RESIDENTIAL MOBILE HOMES",475
"148","28380","1974","RES IMPRVD",474
"149","403528","1969","CONDO LAND",472
"150","271305","1970","RESIDENTIAL MOBILE HOMES",470
"151","403558","2007","RES IMPRVD",467
"152","271280","1940","RES IMPRVD",466
"153","238122","1972","RES IMPRVD",465
"154","232166","1995","RES IMPRVD",464
"155","232166","1983","RES IMPRVD",463
"156","403542","1991","RES IMPRVD",462
"157","237635","1940","RES IMPRVD",455
"158","28380","1973","RES IMPRVD",455
"159","403534","1950","RES IMPRVD",455
"160","232166","1990","RES IMPRVD",453
"161","403541","1956","RES IMPRVD",453
"162","238122","1975","RES IMPRVD",450
"163","271326","1970","RES IMPRVD",448
"164","403552","2013","RES IMPRVD",446
"165","47651","1967","RES IMPRVD",446
"166","403541","0","GOVERNMENTAL EXEMPT",445
"167","271467","1964","RES IMPRVD",442
"168","235286","1938","RES IMPRVD",441
"169","238122","1980","RES IMPRVD",441
"170","271411","1973","CONDO LAND",441
"171","403541","1940","RES IMPRVD",441
"172","403545","1949","RES IMPRVD",441
"173","271448","2006","RES IMPRVD",437
"174","403542","1985","RES IMPRVD",436
"175","403558","2004","RES IMPRVD",436
"176","238122","1977","RES IMPRVD",435
"177","271326","2007","RES IMPRVD",435
"178","28380","1978","CONDO LAND",435
"179","271326","1955","RES IMPRVD",434
"180","236490","1940","RES IMPRVD",431
"181","232166","1996","RES IMPRVD",430
"182","271467","1976","RESIDENTIAL IMPROVED -SINGLE FAMILY",429
"183","271411","2003","CONDO LAND",428
"184","403541","1948","RES IMPRVD",428
"185","28380","1982","CONDO LAND",427
"186","271443","1940","RES IMPRVD",426
"187","403546","1940","RES IMPRVD",425
"188","271467","1962","RES IMPRVD",424
"189","276351","1925","RES IMPRVD",423
"190","271280","1970","RES IMPRVD",422
"191","271467","1963","RES IMPRVD",422
"192","403536","1955","RES IMPRVD",422
"193","271305","1955","RES IMPRVD",421
"194","271409","1976","RES IMPRVD",421
"195","271355","0","GOVERNMENTAL EXEMPT",419
"196","271410","0","GOVERNMENTAL EXEMPT",419
"197","403539","0","GOVERNMENTAL EXEMPT",419
"198","271404","1930","RES IMPRVD",418
"199","403558","2003","RES IMPRVD",418
"200","403545","1960","RES IMPRVD",417
"201","403542","1986","RES IMPRVD",416
"202","403552","2014","RES IMPRVD",416
"203","232166","1976","RES IMPRVD",415
"204","403543","1945","RES IMPRVD",414
"205","232166","1965","RES IMPRVD",413
"206","271510","1950","RES IMPRVD",413
"207","403556","1975","RESIDENTIAL IMPROVED -SINGLE FAMILY",413
"208","403556","1977","RES IMPRVD",413
"209","232166","1982","RES IMPRVD",412
"210","238880","1958","RES IMPRVD",412
"211","403556","1973","RES IMPRVD",412
"212","271510","0","GOVERNMENTAL EXEMPT",411
"213","403542","1984","RES IMPRVD",411
"214","403545","1954","RES IMPRVD",410
"215","403547","1970","RESIDENTIAL MOBILE HOMES",410
"216","271443","1950","RES IMPRVD",407
"217","238122","1983","RES IMPRVD",403
"218","403540","1970","RES IMPRVD",402
"219","271467","1969","CONDO LAND",401
"220","403556","1970","RES IMPRVD",401
"221","235286","1970","RESIDENTIAL MOBILE HOMES",400
"222","276351","0","GOVERNMENTAL EXEMPT",400
"223","232166","1977","RES IMPRVD",399
"224","235537","1965","RES IMPRVD",399
"225","403552","2004","RES IMPRVD",399
"226","403556","1969","RES IMPRVD",399
"227","403540","1950","RES IMPRVD",397
"228","47651","1955","RES IMPRVD",397
"229","236490","1948","RES IMPRVD",396
"230","28380","1976","RES IMPRVD",393
"231","403542","1987","RES IMPRVD",393
"232","236058","1955","RES IMPRVD",390
"233","271585","1960","RES IMPRVD",390
"234","238880","1965","RES IMPRVD",389
"235","403542","1992","RES IMPRVD",388
"236","47651","1964","RES IMPRVD",388
"237","271467","1977","CONDO LAND",385
"238","403556","1979","RES IMPRVD",383
"239","403556","1978","RES IMPRVD",382
"240","47651","1979","CONDO LAND",380
"241","271510","1945","RES IMPRVD",379
"242","271583","1955","RES IMPRVD",379
"243","271637","1978","CONDO LAND",379
"244","403538","1957","RES IMPRVD",379
"245","403542","1993","RES IMPRVD",379
"246","276351","2007","RES IMPRVD",377
"247","271326","1958","RES IMPRVD",376
"248","403550","1948","RES IMPRVD",376
"249","403541","1945","RES IMPRVD",375
"250","276351","2006","RES IMPRVD",374
"251","235537","1961","RES IMPRVD",373
"252","271409","1975","RES IMPRVD",372
"253","403556","1976","RES IMPRVD",371
"254","271326","1962","RES IMPRVD",370
"255","232166","1997","RES IMPRVD",369
"256","271326","1968","RES IMPRVD",369
"257","403545","1965","RES IMPRVD",369
"258","403552","1930","RES IMPRVD",369
"259","403556","1975","RES IMPRVD",368
"260","271539","1955","RES IMPRVD",366
"261","276351","2005","RES IMPRVD",365
"262","271458","1950","RES IMPRVD",364
"263","232166","1968","RES IMPRVD",363
"264","238880","1962","RES IMPRVD",363
"265","271449","1955","RES IMPRVD",362
"266","271467","1973","RESIDENTIAL IMPROVED -SINGLE FAMILY",361
"267","238122","1971","RES IMPRVD",360
"268","403546","0","GOVERNMENTAL EXEMPT",358
"269","403546","1945","RES IMPRVD",357
"270","403550","0","GOVERNMENTAL EXEMPT",357
"271","232166","1994","RES IMPRVD",356
"272","47651","1960","RES IMPRVD",355
"273","235286","1936","RES IMPRVD",353
"274","276351","2012","RES IMPRVD",353
"275","28380","1967","RES IMPRVD",353
"276","403558","1958","RES IMPRVD",353
"277","271305","1952","RES IMPRVD",351
"278","271573","1960","RES IMPRVD",349
"279","271439","1940","RES IMPRVD",347
"280","271406","0","GOVERNMENTAL EXEMPT",346
"281","271585","1970","RESIDENTIAL MOBILE HOMES",346
"282","403530","1980","CONDO LAND",346
"283","403553","1999","RES IMPRVD",346
"284","271467","1966","RES IMPRVD",345
"285","271584","1968","RES IMPRVD",345
"286","403552","2001","RES IMPRVD",345
"287","403553","1980","RES IMPRVD",345
"288","235537","1955","RES IMPRVD",344
"289","271280","1968","RES IMPRVD",343
"290","271448","2007","RES IMPRVD",343
"291","403546","1948","RES IMPRVD",343
"292","403542","1998","RES IMPRVD",342
"293","238911","1978","CONDO LAND",341
"294","28380","1976","RESIDENTIAL IMPROVED -SINGLE FAMILY",341
"295","235537","1962","RES IMPRVD",340
"296","47651","1956","RES IMPRVD",340
"297","271615","1940","RES IMPRVD",339
"298","403558","1976","RES IMPRVD",339
"299","271585","1958","RES IMPRVD",338
"300","403549","1960","RES IMPRVD",338
"301","271458","2006","CONDO LAND",336
"302","271467","1979","RESIDENTIAL IMPROVED -SINGLE FAMILY",335
"303","403553","1978","RES IMPRVD",335
"304","47651","1959","RES IMPRVD",334
"305","271326","2002","RES IMPRVD",332
"306","271326","2013","RES IMPRVD",332
"307","403552","2000","RES IMPRVD",332
"308","403528","1978","CONDO LAND",331
"309","271409","1974","RES IMPRVD",330
"310","238880","1959","RES IMPRVD",329
"311","403552","2003","RES IMPRVD",329
"312","403552","2006","RES IMPRVD",327
"313","403530","1970","RESIDENTIAL MOBILE HOMES",326
"314","403537","1980","CONDO LAND",326
"315","235537","1964","RES IMPRVD",324
"316","271326","2003","RES IMPRVD",324
"317","403555","1970","RES IMPRVD",323
"318","271326","1982","RES IMPRVD",322
"319","276351","2003","RES IMPRVD",321
"320","403541","1954","RES IMPRVD",321
"321","271409","1977","RES IMPRVD",320
"322","28380","1983","RES IMPRVD",320
"323","403551","1970","RESIDENTIAL MOBILE HOMES",320
"324","403545","1940","RES IMPRVD",318
"325","271280","1967","RES IMPRVD",316
"326","403528","1979","CONDO LAND",315
"327","403558","2008","RES IMPRVD",315
"328","235537","1959","RES IMPRVD",314
