"","RegionID","YearBuilt","CountStructures"
"1","182287","0",380
"2","183052","1997",375
"3","183052","2002",373
"4","183052","2004",358
"5","183052","1999",349
"6","183052","1996",345
"7","183052","1998",332
"8","183052","2001",322
"9","183052","2003",322
"10","182408","1973",278
"11","183052","1995",275
"12","183052","2000",275
"13","182408","1971",258
"14","183256","1994",239
"15","183052","1994",227
"16","184182","2001",220
"17","184182","1971",203
"18","184182","2007",198
"19","184182","2003",190
"20","183256","1995",187
"21","182408","1986",180
"22","184182","2002",174
"23","183052","2005",173
"24","184182","2000",171
"25","183052","2006",157
"26","184182","2004",153
"27","184182","1999",148
"28","183052","1993",146
"29","183256","1993",146
"30","182408","1968",145
"31","183256","0",145
"32","182408","1972",142
"33","184182","2005",139
"34","184182","1997",130
"35","182408","1991",128
"36","183256","1996",127
"37","182408","0",126
"38","180286","2004",125
"39","183052","2007",125
"40","182408","1990",122
"41","184182","1998",122
"42","182408","1975",121
"43","184182","1970",120
"44","183052","2009",113
"45","184182","1973",112
"46","184182","2006",112
"47","180286","2001",111
"48","182408","1997",108
"49","182408","1987",107
"50","184182","2013",104
"51","182408","1992",102
"52","183256","1973",102
"53","182408","1989",101
"54","183256","2013",101
"55","182287","1950",100
"56","184182","0",99
"57","180286","2003",98
"58","182408","1976",96
"59","183052","2008",95
"60","180286","2000",94
"61","180286","1999",93
"62","183256","1997",93
"63","184182","1994",93
"64","180286","2005",92
"65","182408","1969",92
"66","182408","1974",91
"67","182418","2006",91
"68","183052","2010",87
"69","182408","1970",86
"70","184182","1995",86
"71","183256","2001",84
"72","182408","1998",83
"73","183256","2004",82
"74","182287","1960",80
"75","182408","1980",79
"76","182408","1988",79
"77","182408","2006",79
"78","183052","1992",78
"79","183256","2000",78
"80","182408","1979",77
"81","184182","1972",77
"82","183256","2002",74
"83","184182","2014",74
"84","183052","0",73
"85","183256","2005",72
"86","180286","1986",71
"87","182418","2005",71
"88","183256","1992",70
"89","183256","1998",70
"90","182408","1999",69
"91","183256","1999",68
"92","184182","1979",68
"93","180286","0",66
"94","180286","2002",66
"95","182287","2005",66
"96","183256","1971",65
"97","182287","1955",64
"98","184182","1996",64
"99","182408","1985",63
"100","184182","1978",63
"101","182408","1977",62
"102","183052","1971",62
"103","182408","1994",60
"104","183256","1976",60
"105","184182","1977",60
"106","184182","2012",60
"107","184182","1993",59
"108","182287","1998",58
"109","183256","1985",58
"110","762636","1993",58
"111","182287","1999",57
"112","183052","1984",57
"113","182287","1990",56
"114","184182","1980",56
"115","182287","2003",55
"116","182287","2004",55
"117","183256","1984",55
"118","182287","1965",54
"119","184182","2008",54
"120","183052","1981",53
"121","184182","1974",53
"122","182287","1992",52
"123","182408","1978",52
"124","183256","1975",52
"125","180286","2012",51
"126","182101","1950",51
"127","182287","2002",51
"128","182418","2004",51
"129","183256","2003",51
"130","183256","2006",51
"131","180286","1994",50
"132","180286","2007",50
"133","182287","1991",50
"134","183256","1990",50
"135","180286","2006",49
"136","182287","2006",49
"137","182287","2007",49
"138","182408","1995",49
"139","182287","2001",48
"140","183052","1979",48
"141","183256","1980",48
"142","182287","1970",47
"143","183052","1986",47
"144","183256","1979",47
"145","183256","2014",47
"146","180286","1998",46
"147","182287","1995",46
"148","183052","2012",46
"149","182287","1940",45
"150","182287","2000",45
"151","182418","0",45
"152","183052","1980",45
"153","183256","1974",45
"154","183052","1991",44
"155","183256","1986",44
"156","180286","1995",43
"157","182287","1996",43
"158","184182","1992",43
"159","184182","2011",43
"160","180317","2006",42
"161","183256","2007",42
"162","183256","2012",42
"163","762636","1945",42
"164","762636","1950",42
"165","180286","1987",41
"166","182287","1994",41
"167","182287","1997",41
"168","183256","1969",41
"169","181226","1964",40
"170","182287","1986",40
"171","182408","1993",40
"172","183052","2013",40
"173","180286","1985",39
"174","182408","1984",39
"175","183052","1990",39
"176","183052","2014",39
"177","183256","1981",39
"178","182287","1980",38
"179","267139","1957",38
"180","762636","1953",38
"181","180286","2013",37
"182","182287","1993",37
"183","183052","1987",37
"184","762636","1955",37
"185","180286","1989",36
"186","180317","2004",36
"187","181399","1956",36
"188","183256","1989",36
"189","267139","1955",36
"190","180286","1996",35
"191","180317","0",35
"192","182287","1978",35
"193","182287","1987",35
"194","182408","1967",35
"195","762636","1935",35
"196","180286","1981",34
"197","181399","1957",34
"198","182287","1957",34
"199","182408","1964",34
"200","183052","1972",34
"201","183052","1988",34
"202","183256","1977",34
"203","183256","1991",34
"204","762635","1968",34
"205","181226","1965",33
"206","182683","1978",33
"207","762635","1966",33
"208","180286","1988",32
"209","182287","1968",32
"210","182287","1977",32
"211","182408","1966",32
"212","183052","1989",32
"213","762636","1940",32
"214","180286","1990",31
"215","180286","1997",31
"216","181399","1955",31
"217","182287","1945",31
"218","182287","1972",31
"219","182287","1988",31
"220","182408","1996",31
"221","182408","2007",31
"222","183052","1973",31
"223","183256","1972",31
"224","183256","1988",31
"225","183256","1970",30
"226","762636","1947",30
"227","182287","1958",29
"228","182287","1975",29
"229","182408","1965",29
"230","182418","2007",29
"231","762635","1973",29
"232","180286","1993",28
"233","183052","2011",28
"234","183256","1983",28
"235","262965","2006",28
"236","182287","1969",27
"237","182408","1981",27
"238","762636","1930",27
"239","762636","1948",27
"240","180286","1976",26
"241","180286","1978",26
"242","180286","1984",26
"243","180317","1997",26
"244","182287","1989",26
"245","182287","2008",26
"246","182418","2012",26
"247","183052","1983",26
"248","183052","1985",26
"249","762635","1971",26
"250","762635","1974",26
"251","180286","1983",25
"252","181399","1961",25
"253","182101","1971",25
"254","182287","1956",25
"255","182287","1967",25
"256","182287","1976",25
"257","182287","1979",25
"258","182408","2013",25
"259","182418","2011",25
"260","183256","2008",25
"261","184182","1976",25
"262","262965","2005",25
"263","762636","1957",25
"264","180286","2014",24
"265","180924","1956",24
"266","181399","1960",24
"267","182408","2000",24
"268","183052","1982",24
"269","183256","1987",24
"270","184182","1981",24
"271","184182","1987",24
"272","267139","1961",24
"273","762636","1925",24
"274","762636","1951",24
"275","180317","2005",23
"276","182287","1959",23
"277","182408","2014",23
"278","183256","1978",23
"279","184182","1984",23
"280","184182","2010",23
"281","210150","1965",23
"282","262965","2007",23
"283","762636","1956",23
"284","180317","1988",22
"285","180924","1959",22
"286","182081","1940",22
"287","182287","1953",22
"288","182287","1985",22
"289","210150","1964",22
"290","762636","1965",22
"291","180286","1965",21
"292","180286","1973",21
"293","180286","1991",21
"294","181226","1962",21
"295","182101","1960",21
"296","182287","1947",21
"297","182287","1948",21
"298","182287","1954",21
"299","182683","2007",21
"300","184182","1991",21
"301","262965","2002",21
"302","180286","1977",20
"303","180286","1992",20
"304","182081","1930",20
"305","182287","1973",20
"306","182408","2010",20
"307","182418","2014",20
"308","210150","1987",20
"309","267139","1958",20
"310","267139","1964",20
"311","762636","1992",20
"312","762636","1996",20
"313","180317","1986",19
"314","181226","1961",19
"315","182287","1964",19
"316","182287","1984",19
"317","182408","2002",19
"318","182408","2012",19
"319","182683","1979",19
"320","184182","2009",19
"321","210150","1997",19
"322","267139","1962",19
"323","762635","1967",19
"324","180286","2009",18
"325","180317","2007",18
"326","180317","2008",18
"327","181226","1963",18
"328","181578","1955",18
"329","182101","1972",18
"330","182408","2001",18
"331","183256","2010",18
"332","184182","1989",18
"333","262965","2000",18
"334","762635","1969",18
"335","762635","1970",18
"336","762636","1939",18
"337","762636","2001",18
"338","180286","1972",17
"339","180286","1974",17
"340","180317","1983",17
"341","180317","1987",17
"342","180317","2003",17
"343","182287","1951",17
"344","182287","1963",17
"345","182287","1983",17
"346","182408","2009",17
"347","183256","1968",17
"348","184182","1975",17
"349","262965","2003",17
"350","267139","1956",17
"351","267139","1959",17
"352","762636","1952",17
"353","762636","1995",17
"354","762636","1998",17
"355","180286","2008",16
"356","180317","1984",16
"357","180317","1998",16
"358","181226","1966",16
