"","RegionID","YearBuilt","LU_desc","CountStructures"
"1","183052","2002","SINGLE FAMILY RESIDENTIAL",373
"2","183052","1997","SINGLE FAMILY RESIDENTIAL",371
"3","183052","1999","SINGLE FAMILY RESIDENTIAL",348
"4","183052","1996","SINGLE FAMILY RESIDENTIAL",344
"5","183052","2004","SINGLE FAMILY RESIDENTIAL",337
"6","183052","1998","SINGLE FAMILY RESIDENTIAL",324
"7","183052","2003","SINGLE FAMILY RESIDENTIAL",322
"8","183052","2001","SINGLE FAMILY RESIDENTIAL",296
"9","182408","1973","SINGLE FAMILY RESIDENTIAL",274
"10","183052","1995","SINGLE FAMILY RESIDENTIAL",274
"11","183052","2000","SINGLE FAMILY RESIDENTIAL",264
"12","182408","1971","SINGLE FAMILY RESIDENTIAL",254
"13","183256","1994","SINGLE FAMILY RESIDENTIAL",238
"14","183052","1994","SINGLE FAMILY RESIDENTIAL",224
"15","184182","1971","SINGLE FAMILY RESIDENTIAL",197
"16","184182","2001","SINGLE FAMILY RESIDENTIAL",187
"17","183256","1995","SINGLE FAMILY RESIDENTIAL",182
"18","183052","2005","SINGLE FAMILY RESIDENTIAL",172
"19","182408","1986","SINGLE FAMILY RESIDENTIAL",169
"20","184182","2000","SINGLE FAMILY RESIDENTIAL",160
"21","183052","2006","SINGLE FAMILY RESIDENTIAL",156
"22","183256","1993","SINGLE FAMILY RESIDENTIAL",144
"23","182408","1968","SINGLE FAMILY RESIDENTIAL",143
"24","183052","1993","SINGLE FAMILY RESIDENTIAL",143
"25","184182","2002","SINGLE FAMILY RESIDENTIAL",141
"26","184182","2003","SINGLE FAMILY RESIDENTIAL",138
"27","182287","0","RES - PERSONAL PROP MFG HOME",136
"28","182408","1972","SINGLE FAMILY RESIDENTIAL",130
"29","184182","1999","SINGLE FAMILY RESIDENTIAL",125
"30","183256","1996","SINGLE FAMILY RESIDENTIAL",124
"31","183052","2007","SINGLE FAMILY RESIDENTIAL",123
"32","180286","2004","SINGLE FAMILY RESIDENTIAL",122
"33","182408","1991","SINGLE FAMILY RESIDENTIAL",120
"34","184182","1970","SINGLE FAMILY RESIDENTIAL",117
"35","182408","1975","SINGLE FAMILY RESIDENTIAL",116
"36","182408","1990","SINGLE FAMILY RESIDENTIAL",114
"37","183052","2009","SINGLE FAMILY RESIDENTIAL",113
"38","184182","1973","SINGLE FAMILY RESIDENTIAL",111
"39","180286","2001","SINGLE FAMILY RESIDENTIAL",102
"40","183256","1973","SINGLE FAMILY RESIDENTIAL",102
"41","183256","2013","SINGLE FAMILY RESIDENTIAL",101
"42","184182","2013","SINGLE FAMILY RESIDENTIAL",100
"43","182408","1987","SINGLE FAMILY RESIDENTIAL",99
"44","180286","2003","SINGLE FAMILY RESIDENTIAL",97
"45","182408","1992","SINGLE FAMILY RESIDENTIAL",96
"46","182408","1989","SINGLE FAMILY RESIDENTIAL",95
"47","182408","1976","SINGLE FAMILY RESIDENTIAL",93
"48","182287","1950","RESIDENTIAL - ONE FAMILY UNIT",92
"49","183256","1997","SINGLE FAMILY RESIDENTIAL",92
"50","184182","2007","SINGLE FAMILY RESIDENTIAL",92
"51","180286","2000","SINGLE FAMILY RESIDENTIAL",91
"52","183052","2008","SINGLE FAMILY RESIDENTIAL",91
"53","184182","2007","CONDOMINIUM (RESIDENTIAL)",90
"54","182408","1969","SINGLE FAMILY RESIDENTIAL",88
"55","182408","1974","SINGLE FAMILY RESIDENTIAL",88
"56","183052","2010","SINGLE FAMILY RESIDENTIAL",87
"57","184182","1994","SINGLE FAMILY RESIDENTIAL",86
"58","182408","1970","SINGLE FAMILY RESIDENTIAL",85
"59","184182","2006","SINGLE FAMILY RESIDENTIAL",85
"60","183256","2001","SINGLE FAMILY RESIDENTIAL",84
"61","183256","2004","SINGLE FAMILY RESIDENTIAL",81
"62","184182","1998","SINGLE FAMILY RESIDENTIAL",80
"63","180286","2005","SINGLE FAMILY RESIDENTIAL",79
"64","184182","2004","SINGLE FAMILY RESIDENTIAL",78
"65","183052","1992","SINGLE FAMILY RESIDENTIAL",77
"66","184182","1995","SINGLE FAMILY RESIDENTIAL",77
"67","182408","1980","SINGLE FAMILY RESIDENTIAL",73
"68","183256","2002","SINGLE FAMILY RESIDENTIAL",73
"69","184182","1972","SINGLE FAMILY RESIDENTIAL",73
"70","183256","2000","SINGLE FAMILY RESIDENTIAL",72
"71","184182","1997","SINGLE FAMILY RESIDENTIAL",72
"72","184182","2014","SINGLE FAMILY RESIDENTIAL",71
"73","182408","1979","SINGLE FAMILY RESIDENTIAL",70
"74","183256","2005","SINGLE FAMILY RESIDENTIAL",70
"75","184182","2005","SINGLE FAMILY RESIDENTIAL",70
"76","182287","1960","RESIDENTIAL - ONE FAMILY UNIT",69
"77","180286","1986","SINGLE FAMILY RESIDENTIAL",68
"78","182418","2005","SINGLE FAMILY RESIDENTIAL",68
"79","183256","1992","SINGLE FAMILY RESIDENTIAL",68
"80","183256","1998","SINGLE FAMILY RESIDENTIAL",68
"81","180286","1999","SINGLE FAMILY RESIDENTIAL",67
"82","184182","1979","SINGLE FAMILY RESIDENTIAL",66
"83","183256","1999","SINGLE FAMILY RESIDENTIAL",65
"84","182287","2005","RESIDENTIAL - ONE FAMILY UNIT",63
"85","184182","1978","SINGLE FAMILY RESIDENTIAL",63
"86","180286","2002","SINGLE FAMILY RESIDENTIAL",62
"87","182408","0","MOBILE HOME",62
"88","182408","1988","SINGLE FAMILY RESIDENTIAL",62
"89","183052","1971","SINGLE FAMILY RESIDENTIAL",62
"90","184182","1996","SINGLE FAMILY RESIDENTIAL",62
"91","183256","1971","SINGLE FAMILY RESIDENTIAL",61
"92","184182","2012","SINGLE FAMILY RESIDENTIAL",60
"93","182408","1997","OFFICE WAREHOUSE",59
"94","183256","0","MARINA-MARINE CRAFT DOCK",59
"95","182287","1955","RESIDENTIAL - ONE FAMILY UNIT",58
"96","182418","2006","SINGLE FAMILY RESIDENTIAL",58
"97","183256","1976","SINGLE FAMILY RESIDENTIAL",58
"98","184182","1977","SINGLE FAMILY RESIDENTIAL",58
"99","184182","2005","CONDOMINIUM (RESIDENTIAL)",57
"100","182408","1977","SINGLE FAMILY RESIDENTIAL",56
"101","184182","1980","SINGLE FAMILY RESIDENTIAL",56
"102","762636","1993","MFR CONST(COND/TWN/DUP SFR)",56
"103","183052","1984","SINGLE FAMILY RESIDENTIAL",55
"104","182408","1985","SINGLE FAMILY RESIDENTIAL",54
"105","183256","1984","SINGLE FAMILY RESIDENTIAL",54
"106","183256","1985","SINGLE FAMILY RESIDENTIAL",53
"107","183256","1975","SINGLE FAMILY RESIDENTIAL",52
"108","184182","2004","SINGLE FAMILY ATT CONDO",52
"109","180286","2012","SINGLE FAMILY RESIDENTIAL",51
"110","184182","1974","SINGLE FAMILY RESIDENTIAL",51
"111","182101","1950","SFR CONST(SFR)",50
"112","183052","1981","SINGLE FAMILY RESIDENTIAL",50
"113","183256","2003","SINGLE FAMILY RESIDENTIAL",50
"114","184182","1993","SINGLE FAMILY RESIDENTIAL",50
"115","182287","0","RESIDENTIAL - ONE FAMILY UNIT",49
"116","182287","2003","RESIDENTIAL - ONE FAMILY UNIT",49
"117","183256","1990","SINGLE FAMILY RESIDENTIAL",49
"118","182287","1998","RESIDENTIAL - ONE FAMILY UNIT",48
"119","182287","2002","RESIDENTIAL - ONE FAMILY UNIT",48
"120","182287","2004","RESIDENTIAL - ONE FAMILY UNIT",48
"121","182408","1978","SINGLE FAMILY RESIDENTIAL",48
"122","182418","2004","SINGLE FAMILY RESIDENTIAL",48
"123","183052","1979","SINGLE FAMILY RESIDENTIAL",48
"124","184182","1997","TOWNHOUSE",48
"125","180286","1994","SINGLE FAMILY RESIDENTIAL",47
"126","180286","2007","SINGLE FAMILY RESIDENTIAL",47
"127","182287","2007","RESIDENTIAL - ONE FAMILY UNIT",47
"128","183256","1979","SINGLE FAMILY RESIDENTIAL",47
"129","183256","2006","SINGLE FAMILY RESIDENTIAL",47
"130","183256","2014","SINGLE FAMILY RESIDENTIAL",47
"131","184182","2008","SINGLE FAMILY RESIDENTIAL",47
"132","182287","1999","RESIDENTIAL - ONE FAMILY UNIT",46
"133","182287","2006","RESIDENTIAL - ONE FAMILY UNIT",46
"134","183052","2012","SINGLE FAMILY RESIDENTIAL",46
"135","184182","2003","CONDOMINIUM (RESIDENTIAL)",46
"136","182287","1965","RESIDENTIAL - ONE FAMILY UNIT",45
"137","183052","0","OWNERS ASSOCIATION COMMON AREA",45
"138","183052","1980","SINGLE FAMILY RESIDENTIAL",45
"139","183052","1986","SINGLE FAMILY RESIDENTIAL",45
"140","183256","0","OWNERS ASSOCIATION COMMON AREA",45
"141","183256","1974","SINGLE FAMILY RESIDENTIAL",45
"142","183256","1980","SINGLE FAMILY RESIDENTIAL",44
"143","183052","1991","SINGLE FAMILY RESIDENTIAL",43
"144","180286","2006","SINGLE FAMILY RESIDENTIAL",42
"145","180317","2006","SFR CONST(SFR)",42
"146","182287","1990","RESIDENTIAL - ONE FAMILY UNIT",42
"147","182287","1991","RESIDENTIAL - ONE FAMILY UNIT",42
"148","182287","1992","RESIDENTIAL - ONE FAMILY UNIT",42
"149","182408","1997","SINGLE FAMILY RESIDENTIAL",42
"150","183256","2007","SINGLE FAMILY RESIDENTIAL",42
"151","184182","2011","SINGLE FAMILY RESIDENTIAL",42
"152","180286","1987","SINGLE FAMILY RESIDENTIAL",41
"153","180286","1995","SINGLE FAMILY RESIDENTIAL",41
"154","180286","1998","SINGLE FAMILY RESIDENTIAL",40
