"","RegionID","YearBuilt","CountStructures"
"1","275707","0",6523
"2","189019","0",5800
"3","273483","0",5619
"4","274157","0",4274
"5","276653","0",3163
"6","272945","0",3024
"7","190055","0",2923
"8","764248","0",2800
"9","275730","0",2727
"10","274464","0",2429
"11","7165","0",2016
"12","153287","0",1980
"13","29804","1961",1739
"14","275730","2008",1350
"15","189284","0",1328
"16","764251","0",1324
"17","274302","0",1303
"18","264176","0",1295
"19","26460","0",1244
"20","275730","2007",1241
"21","764254","0",1232
"22","275730","2000",1111
"23","396169","1977",1079
"24","764250","0",1035
"25","396668","1985",979
"26","16927","1960",968
"27","396169","1983",968
"28","273483","2008",956
"29","273483","2007",875
"30","396169","1979",850
"31","764249","0",821
"32","29748","1948",811
"33","396668","1986",783
"34","51722","1925",688
"35","764252","0",657
"36","273910","0",637
"37","190205","1970",635
"38","396169","1974",596
"39","264176","1940",582
"40","190233","1986",578
"41","275707","1900",571
"42","275730","2010",562
"43","396169","1982",546
"44","16927","1985",545
"45","396169","1971",545
"46","276619","0",543
"47","29748","1946",513
"48","4748","1949",506
"49","396169","1978",503
"50","396668","1988",485
"51","16927","1970",471
"52","182086","0",461
"53","396169","1972",460
"54","275941","1922",444
"55","396169","1984",442
"56","275941","0",426
"57","396169","1975",420
"58","396169","1976",413
"59","764253","0",410
"60","275707","1890",394
"61","189654","1916",393
"62","275941","1927",387
"63","16927","2000",379
"64","182086","1950",367
"65","182086","1955",364
"66","182086","1960",361
"67","16927","0",355
"68","275833","0",355
"69","16927","1975",349
"70","21500","0",349
"71","4748","1945",346
"72","276619","1907",333
"73","275707","1880",327
"74","396169","1981",325
"75","396169","1986",304
"76","29748","1990",301
"77","16927","2001",298
"78","396169","1973",297
"79","275833","1925",294
"80","264176","1950",289
"81","4748","1951",288
"82","190055","1900",270
"83","188830","1956",268
"84","51722","1963",264
"85","762011","1926",255
"86","273483","1972",254
"87","396169","1980",250
"88","29748","1947",247
"89","275941","1917",246
"90","42217","0",246
"91","33500","1961",244
"92","273910","1993",243
"93","762011","1921",234
"94","275941","1925",233
"95","21156","1962",227
"96","275833","1920",227
"97","273483","2005",226
"98","32508","1955",224
"99","396169","1985",224
"100","29748","1955",223
"101","415711","1930",223
"102","275707","1910",222
"103","21156","2006",221
"104","189158","1995",213
"105","21156","1954",211
"106","43998","1947",211
"107","29210","1904",208
"108","43998","1936",208
"109","189158","1990",206
"110","51722","1930",206
"111","245503","1916",203
"112","274157","1910",203
"113","16927","1980",196
"114","273483","2002",196
"115","276619","1917",194
"116","276653","1900",194
"117","21156","0",193
"118","275833","1927",193
"119","761759","1925",193
"120","16521","1954",192
"121","189158","1993",192
"122","16927","1950",191
"123","189158","1994",191
"124","276653","2006",191
"125","396169","1987",188
"126","29210","1890",186
"127","16521","1957",184
"128","273483","1887",184
"129","189158","1986",182
"130","415711","1925",182
"131","43998","0",181
"132","21156","2002",179
"133","21156","2004",179
"134","34896","1968",179
"135","51722","1910",179
"136","255246","0",178
"137","273483","1880",177
"138","274302","2000",176
"139","21156","2005",175
"140","29748","1958",174
"141","273483","1890",171
"142","276619","1912",171
"143","29748","1949",171
"144","29748","1926",170
"145","396169","1970",169
"146","763344","1930",169
"147","274157","1900",167
"148","16927","1994",165
"149","16927","2002",165
"150","29748","1950",165
"151","396169","1996",164
"152","22667","1930",163
"153","274302","2003",163
"154","30215","1925",163
"155","16927","1993",161
"156","276619","1910",161
"157","42217","1975",161
"158","4748","1915",161
"159","16927","1999",160
"160","51722","1920",158
"161","16521","2000",155
"162","16927","1965",155
"163","21156","2003",155
"164","276619","1922",153
"165","42217","1923",152
"166","275833","1930",145
"167","275941","1932",144
"168","29748","1973",144
"169","275941","1920",143
"170","4748","1935",143
"171","16927","1973",141
"172","4748","1955",141
"173","275707","1895",140
"174","16521","2004",139
"175","275833","1917",139
"176","42217","1933",139
"177","272945","1900",137
"178","29748","1951",137
"179","29748","1954",136
"180","16927","1972",135
"181","190233","1990",135
