"","RegionID","YearBuilt","LU_desc","CountStructures"
"1","189019","0","RESIDENTIAL",4710
"2","275707","0","RESIDENTIAL",4000
"3","273483","0","CONDOMINIUM",3399
"4","275730","0","CONDOMINIUM",2513
"5","764248","0","RESIDENTIAL",2247
"6","190055","0","RESIDENTIAL",2153
"7","274157","0","CONDOMINIUM",2025
"8","276653","0","RESIDENTIAL",1960
"9","272945","0","RESIDENTIAL",1806
"10","29804","1961","RESIDENTIAL",1725
"11","274157","0","RESIDENTIAL",1370
"12","7165","0","RESIDENTIAL",1365
"13","275730","2008","CONDOMINIUM",1349
"14","275707","0","CONDOMINIUM",1312
"15","275730","2007","CONDOMINIUM",1239
"16","274302","0","CONDOMINIUM",1235
"17","153287","0","RESIDENTIAL",1171
"18","273483","0","RESIDENTIAL",1156
"19","274464","0","CONDOMINIUM",1122
"20","275730","2000","CONDOMINIUM",1106
"21","396169","1977","RESIDENTIAL",1067
"22","26460","0","RESIDENTIAL",1024
"23","189284","0","RESIDENTIAL",971
"24","396668","1985","RESIDENTIAL",971
"25","396169","1983","RESIDENTIAL",956
"26","273483","2008","CONDOMINIUM",952
"27","16927","1960","RESIDENTIAL",948
"28","264176","0","RESIDENTIAL",927
"29","764254","0","RESIDENTIAL",875
"30","273483","2007","CONDOMINIUM",870
"31","274464","0","RESIDENTIAL",840
"32","396169","1979","RESIDENTIAL",835
"33","29748","1948","RESIDENTIAL",809
"34","396668","1986","RESIDENTIAL",774
"35","51722","1925","RESIDENTIAL",679
"36","764249","0","RESIDENTIAL",677
"37","276653","0","CONDOMINIUM",674
"38","190205","1970","RESIDENTIAL",630
"39","764251","0","RESIDENTIAL",620
"40","396169","1974","RESIDENTIAL",585
"41","264176","1940","RESIDENTIAL",582
"42","273910","0","CONDOMINIUM",575
"43","275730","2010","CONDOMINIUM",561
"44","190233","1986","CONDOMINIUM",545
"45","764252","0","RESIDENTIAL",541
"46","396169","1971","RESIDENTIAL",538
"47","396169","1982","RESIDENTIAL",538
"48","16927","1985","RESIDENTIAL",537
"49","29748","1946","RESIDENTIAL",510
"50","4748","1949","RESIDENTIAL",502
"51","396169","1978","RESIDENTIAL",500
"52","396668","1988","RESIDENTIAL",482
"53","16927","1970","RESIDENTIAL",467
"54","396169","1972","RESIDENTIAL",455
"55","153287","0","COMMERCIAL",450
"56","7165","0","COMMERCIAL",446
"57","272945","0","CONDOMINIUM",443
"58","275941","1922","RESIDENTIAL",440
"59","396169","1984","RESIDENTIAL",436
"60","764250","0","COMMERCIAL",434
"61","190055","0","COMMERCIAL",432
"62","275707","0","COMMERCIAL",432
"63","275707","1900","RESIDENTIAL",424
"64","396169","1975","RESIDENTIAL",416
"65","396169","1976","RESIDENTIAL",409
"66","189654","1916","RESIDENTIAL",388
"67","275941","1927","RESIDENTIAL",378
"68","764251","0","COMMERCIAL",365
"69","182086","1955","RESIDENTIAL",363
"70","182086","1950","RESIDENTIAL",360
"71","182086","1960","RESIDENTIAL",359
"72","273483","0","OTHER EXEMPT",357
"73","16927","1975","RESIDENTIAL",344
"74","4748","1945","RESIDENTIAL",343
"75","16927","2000","RESIDENTIAL",335
"76","274157","0","COMMERCIAL",327
"77","396169","1981","RESIDENTIAL",323
"78","276619","1907","RESIDENTIAL",315
"79","189019","0","COMMERCIAL",308
"80","273483","0","COMMERCIAL",306
"81","182086","0","RESIDENTIAL",305
"82","764248","0","COMMERCIAL",304
"83","396169","1986","RESIDENTIAL",300
"84","29748","1990","CONDOMINIUM",295
"85","396169","1973","RESIDENTIAL",295
"86","264176","1950","RESIDENTIAL",289
"87","275833","1925","RESIDENTIAL",288
"88","4748","1951","RESIDENTIAL",288
"89","275707","1890","RESIDENTIAL",276
"90","189019","0","CONDOMINIUM",274
"91","190055","1900","RESIDENTIAL",270
"92","188830","1956","RESIDENTIAL",263
"93","51722","1963","CONDOMINIUM",260
"94","762011","1926","RESIDENTIAL",255
"95","273483","1972","CONDOMINIUM",253
"96","396169","1980","RESIDENTIAL",248
"97","764250","0","RESIDENTIAL",248
"98","29748","1947","RESIDENTIAL",245
"99","275707","0","APARTMENT",244
"100","16927","2001","RESIDENTIAL",243
"101","33500","1961","RESIDENTIAL",243
"102","273910","1993","CONDOMINIUM",242
"103","275941","1917","RESIDENTIAL",241
"104","275707","0","OTHER EXEMPT",236
"105","275707","1880","RESIDENTIAL",233
"106","264176","0","COMMERCIAL",232
"107","762011","1921","RESIDENTIAL",232
"108","764253","0","RESIDENTIAL",227
"109","21156","1962","RESIDENTIAL",225
"110","275941","1925","RESIDENTIAL",223
"111","396169","1985","RESIDENTIAL",223
"112","32508","1955","RESIDENTIAL",222
"113","273483","2005","CONDOMINIUM",219
"114","415711","1930","RESIDENTIAL",219
"115","21156","2006","RESIDENTIAL",218
"116","275833","1920","RESIDENTIAL",217
"117","189158","1995","RESIDENTIAL",210
"118","21156","1954","RESIDENTIAL",210
"119","29748","1955","RESIDENTIAL",210
"120","43998","1947","RESIDENTIAL",208
"121","43998","1936","RESIDENTIAL",206
"122","16927","0","PUBLIC PROPERTY",203
"123","189158","1990","RESIDENTIAL",202
"124","245503","1916","RESIDENTIAL",201
"125","51722","1930","RESIDENTIAL",200
"126","276653","0","COMMERCIAL",197
"127","189284","0","COMMERCIAL",196
"128","16927","1980","RESIDENTIAL",193
"129","273483","2002","CONDOMINIUM",193
"130","761759","1925","RESIDENTIAL",193
"131","275833","1927","RESIDENTIAL",191
"132","276619","1917","RESIDENTIAL",191
"133","16521","1954","RESIDENTIAL",190
"134","189158","1993","RESIDENTIAL",188
"135","189158","1994","RESIDENTIAL",188
"136","272945","0","COMMERCIAL",188
"137","272945","0","PUBLIC PROPERTY",187
"138","396169","1987","RESIDENTIAL",187
"139","16521","1957","RESIDENTIAL",182
"140","189158","1986","RESIDENTIAL",181
"141","415711","1925","RESIDENTIAL",181
"142","16927","1950","RESIDENTIAL",180
"143","21156","2002","RESIDENTIAL",177
"144","21156","2004","RESIDENTIAL",177
"145","274302","2000","CONDOMINIUM",176
"146","51722","1910","RESIDENTIAL",175
"147","764254","0","COMMERCIAL",175
"148","21156","2005","RESIDENTIAL",171
"149","276619","1912","RESIDENTIAL",171
"150","29748","1949","RESIDENTIAL",170
"151","29748","1958","RESIDENTIAL",170
"152","396169","1970","RESIDENTIAL",169
"153","763344","1930","RESIDENTIAL",167
"154","22667","1930","RESIDENTIAL",163
"155","274302","2003","CONDOMINIUM",163
"156","274464","0","COMMERCIAL",163
"157","29748","1926","RESIDENTIAL",163
"158","396169","1996","RESIDENTIAL",163
"159","42217","1975","TOWNHOUSE/CONDO",160
"160","16927","1993","RESIDENTIAL",159
"161","4748","1915","RESIDENTIAL",159
"162","276653","1900","RESIDENTIAL",157
"163","276653","2006","CONDOMINIUM",157
"164","30215","1925","RESIDENTIAL",155
"165","16927","1965","RESIDENTIAL",154
"166","21156","2003","RESIDENTIAL",154
"167","51722","1920","RESIDENTIAL",154
"168","276619","1910","RESIDENTIAL",153
"169","764253","0","CONDOMINIUM",150
"170","276619","1922","RESIDENTIAL",149
"171","16927","1994","RESIDENTIAL",146
"172","29748","1950","RESIDENTIAL",145
"173","275941","1932","RESIDENTIAL",144
"174","274157","1910","CONDOMINIUM",141
"175","34896","1968","CONDOMINIUM/NEW CONSTRUCTION",141
"176","16927","1973","RESIDENTIAL",140
"177","16521","2000","TOWNHOUSE/CONDO",139
"178","276619","0","PUBLIC PROPERTY",139
"179","4748","1955","RESIDENTIAL",139
"180","29210","1904","RESIDENTIAL",138
"181","16927","1999","RESIDENTIAL",137
"182","26460","0","COMMERCIAL",137
"183","275833","1917","RESIDENTIAL",137
"184","275833","1930","RESIDENTIAL",136
"185","4748","1935","RESIDENTIAL",136
"186","16927","1972","RESIDENTIAL",135
"187","189019","0","APARTMENT",135
"188","29748","1951","RESIDENTIAL",135
"189","275941","1920","RESIDENTIAL",134
"190","276619","0","COMMERCIAL",134
"191","29748","1954","RESIDENTIAL",134
"192","275833","1915","RESIDENTIAL",133
"193","275941","1987","CONDOMINIUM",133
"194","42217","0","RESIDENTIAL",133
"195","42217","1923","RESIDENTIAL",133
"196","21500","0","FARM (QUALIFIED)",132
"197","274157","0","APARTMENT",132
"198","275833","1922","RESIDENTIAL",131
"199","275833","1952","RESIDENTIAL",129
"200","30215","1920","RESIDENTIAL",129
"201","189158","1988","RESIDENTIAL",128
"202","42217","1933","RESIDENTIAL",128
"203","275941","0","COMMERCIAL",127
"204","32508","1957","RESIDENTIAL",127
"205","153287","0","CHURCH & CHARITABLE PROPERTY",126
"206","21156","1972","RESIDENTIAL",126
"207","273910","2006","CONDOMINIUM",126
"208","43998","1949","RESIDENTIAL",126
"209","4748","1925","RESIDENTIAL",126
"210","275833","0","COMMERCIAL",125
"211","29748","1957","RESIDENTIAL",125
"212","190233","1990","RESIDENTIAL",124
"213","274157","0","PUBLIC PROPERTY",124
"214","275707","1910","RESIDENTIAL",124
"215","29804","1965","TOWNHOUSE/CONDO",124
"216","21156","1952","RESIDENTIAL",123
"217","21156","2007","RESIDENTIAL",122
"218","764250","0","PUBLIC PROPERTY",122
"219","16927","2014","RESIDENTIAL",121
"220","16927","1955","RESIDENTIAL",120
"221","16927","1992","RESIDENTIAL",120
"222","762011","1911","RESIDENTIAL",120
"223","16521","2004","TOWNHOUSE/CONDO",118
"224","16927","1990","RESIDENTIAL",118
"225","16927","2004","RESIDENTIAL",118
"226","273910","2005","CONDOMINIUM",118
"227","29812","1960","RESIDENTIAL",117
"228","49764","1933","RESIDENTIAL",116
"229","16927","0","COMMERCIAL",115
"230","16927","2002","RESIDENTIAL",115
"231","190055","0","INDUSTRIAL",115
"232","42217","1973","TOWNHOUSE/CONDO",115
"233","18995","1908","RESIDENTIAL",114
"234","42217","1904","RESIDENTIAL",114
"235","189019","0","PUBLIC PROPERTY",113
"236","16521","1908","RESIDENTIAL",112
"237","30215","1930","RESIDENTIAL",112
"238","274157","1900","RESIDENTIAL",111
"239","16927","1986","RESIDENTIAL",110
"240","188830","1951","RESIDENTIAL",109
"241","16927","1957","RESIDENTIAL",106
"242","21500","0","PUBLIC PROPERTY",106
"243","274464","1925","CONDOMINIUM",106
"244","275833","1907","RESIDENTIAL",106
"245","764251","0","CHURCH & CHARITABLE PROPERTY",106
"246","272945","1900","RESIDENTIAL",105
"247","275941","1924","RESIDENTIAL",104
"248","396169","1988","RESIDENTIAL",104
"249","275941","0","PUBLIC PROPERTY",102
"250","275941","1952","RESIDENTIAL",102
"251","29748","1945","RESIDENTIAL",102
"252","272945","1890","RESIDENTIAL",101
"253","190205","1969","RESIDENTIAL",100
"254","29210","1986","TOWNHOUSE/CONDO",100
"255","16927","1988","RESIDENTIAL",99
"256","16927","1989","RESIDENTIAL",99
"257","274157","0","OTHER EXEMPT",99
"258","29748","1953","RESIDENTIAL",99
"259","16927","1987","RESIDENTIAL",98
"260","16927","1995","RESIDENTIAL",98
"261","273483","1887","CONDOMINIUM",98
"262","32508","1982","RESIDENTIAL",98
"263","272945","0","CHURCH & CHARITABLE PROPERTY",97
"264","51722","1940","RESIDENTIAL",97
"265","18995","1928","RESIDENTIAL",96
"266","18995","1933","RESIDENTIAL",96
"267","190055","0","APARTMENT",96
"268","21156","2008","RESIDENTIAL",96
"269","16927","2005","RESIDENTIAL",95
"270","43998","1945","RESIDENTIAL",95
"271","189019","2005","RESIDENTIAL",94
"272","275707","1895","RESIDENTIAL",94
"273","16521","1955","RESIDENTIAL",93
"274","16927","1984","RESIDENTIAL",93
"275","189019","1900","RESIDENTIAL",93
"276","21156","2009","RESIDENTIAL",93
"277","272945","0","APARTMENT",93
"278","18995","1923","RESIDENTIAL",92
"279","273483","0","APARTMENT",92
"280","29748","1973","CONDOMINIUM",92
"281","43998","1935","RESIDENTIAL",92
"282","21156","1986","RESIDENTIAL",91
"283","274157","1890","RESIDENTIAL",91
"284","276653","2007","CONDOMINIUM",91
"285","29210","1890","RESIDENTIAL",91
"286","29748","1925","RESIDENTIAL",91
"287","273910","2004","CONDOMINIUM",90
"288","32508","1961","RESIDENTIAL",90
"289","43998","0","CONDOMINIUM",90
"290","245503","1986","CONDOMINIUM",89
"291","272945","0","OTHER EXEMPT",89
"292","764248","0","APARTMENT",89
"293","33500","1958","RESIDENTIAL",88
"294","415711","1900","RESIDENTIAL",88
"295","188830","1953","RESIDENTIAL",87
"296","189158","1987","RESIDENTIAL",87
"297","273910","1996","CONDOMINIUM",87
"298","16927","1998","RESIDENTIAL",86
"299","16927","2003","RESIDENTIAL",86
"300","189019","1925","RESIDENTIAL",86
"301","255246","0","COMMERCIAL",86
"302","275707","1925","RESIDENTIAL",86
"303","32508","1954","RESIDENTIAL",86
"304","4748","1950","RESIDENTIAL",86
"305","21156","2014","RESIDENTIAL",85
"306","275941","1907","RESIDENTIAL",85
"307","43998","1955","RESIDENTIAL",85
"308","16927","2006","RESIDENTIAL",84
"309","189019","1927","RESIDENTIAL",84
"310","275941","1912","RESIDENTIAL",84
"311","32508","1988","RESIDENTIAL",84
"312","189019","1910","RESIDENTIAL",83
"313","29812","1959","RESIDENTIAL",83
"314","182086","0","COMMERCIAL",82
"315","182086","1940","RESIDENTIAL",82
"316","273483","2010","CONDOMINIUM",82
"317","29748","1915","RESIDENTIAL",82
"318","43998","1916","RESIDENTIAL",81
"319","762011","1931","RESIDENTIAL",81
"320","189019","2004","RESIDENTIAL",80
"321","21156","2013","RESIDENTIAL",80
"322","189019","1926","RESIDENTIAL",79
"323","189019","2006","RESIDENTIAL",79
"324","21156","1950","RESIDENTIAL",79
"325","273483","1880","CONDOMINIUM",79
"326","276619","1900","RESIDENTIAL",79
"327","276619","1920","RESIDENTIAL",79
"328","29748","1985","CONDOMINIUM",79
"329","33500","1952","RESIDENTIAL",79
