"","RegionID","YearBuilt","CountStructures"
"1","51128","0",11513
"2","25219","0",8823
"3","56840","0",8303
"4","10768","0",8222
"5","21885","0",6510
"6","30360","0",6440
"7","395435","0",5460
"8","270958","0",5079
"9","54331","0",4929
"10","270957","1987",4612
"11","38922","0",4462
"12","17876","0",4418
"13","25294","1920",4356
"14","198154","0",4341
"15","270958","1987",4197
"16","270957","0",4147
"17","27182","1920",3881
"18","43174","0",3530
"19","196835","0",3465
"20","42798","0",3433
"21","3736","0",3342
"22","25294","1925",3281
"23","39124","0",3205
"24","4982","0",3109
"25","276128","1920",3097
"26","26249","0",3020
"27","27182","1925",2999
"28","26352","1920",2651
"29","49994","1920",2568
"30","48885","0",2523
"31","27182","1930",2468
"32","25294","1930",2462
"33","272816","1930",2383
"34","275115","1930",2354
"35","275173","1930",2323
"36","18131","0",2312
"37","396086","0",2297
"38","37309","1950",2230
"39","270885","0",2194
"40","275115","1925",2194
"41","193195","0",2128
"42","276060","1950",2042
"43","275115","1920",2014
"44","272816","1920",1922
"45","41622","0",1876
"46","196338","1940",1766
"47","272816","1925",1714
"48","403225","1950",1665
"49","18799","0",1662
"50","270885","1987",1643
"51","34745","0",1629
"52","5837","1920",1576
"53","57348","1950",1553
"54","195125","0",1528
"55","26352","1925",1523
"56","50348","1945",1517
"57","25160","1925",1504
"58","25160","1930",1444
"59","10957","1920",1413
"60","16804","0",1401
"61","25160","1920",1396
"62","275552","1925",1392
"63","403206","1987",1379
"64","343225","0",1374
"65","276345","1920",1372
"66","195267","1910",1353
"67","275552","1930",1313
"68","57348","1940",1297
"69","403226","1950",1280
"70","273653","1970",1264
"71","195267","1987",1259
"72","762572","0",1240
"73","45032","1930",1237
"74","270835","1987",1234
"75","42871","0",1233
"76","273757","1940",1228
"77","25276","0",1221
"78","4819","1950",1213
"79","18131","1950",1205
"80","270957","1910",1198
"81","275173","1910",1198
"82","270797","1950",1191
"83","270951","0",1191
"84","196338","1930",1190
"85","274285","1930",1187
"86","270958","1900",1176
"87","30598","0",1167
"88","55123","0",1164
"89","5837","1940",1162
"90","26352","1930",1142
"91","274285","1950",1140
"92","21970","1965",1139
"93","194430","3",1137
"94","37309","1955",1135
"95","276128","1910",1129
"96","194430","1",1127
"97","37309","1930",1125
"98","5837","1930",1123
"99","275552","1950",1119
"100","194430","6",1111
"101","18131","2008",1110
"102","194430","8",1108
"103","275552","1920",1106
"104","403223","1920",1106
"105","276060","1960",1100
"106","194430","4",1097
"107","275115","1950",1096
"108","21970","1960",1093
"109","270951","1987",1091
"110","37309","1960",1087
"111","194430","9",1086
"112","270800","1972",1084
"113","199001","3",1082
"114","37309","1940",1082
"115","194430","2",1078
"116","270957","1986",1078
"117","194430","5",1069
"118","27182","1950",1068
"119","199001","1",1065
"120","276254","1987",1065
"121","276345","1925",1065
"122","272869","0",1063
"123","275173","1920",1062
"124","273478","1950",1061
"125","199001","6",1050
"126","199001","8",1045
"127","275247","1950",1043
"128","276254","0",1040
"129","270796","0",1039
"130","199001","4",1038
"131","45032","1925",1036
"132","45032","1950",1034
"133","26254","1950",1033
"134","276345","1930",1032
"135","194430","0",1031
"136","199001","9",1030
"137","276128","1925",1030
"138","194430","7",1028
"139","272902","3",1025
"140","272816","1940",1024
"141","199001","5",1020
"142","4819","1940",1014
"143","199001","2",1013
"144","55987","0",1011
"145","272902","1",1008
"146","272902","8",995
"147","37309","1920",993
"148","196538","0",987
"149","199001","0",987
"150","270797","1945",984
"151","272902","6",984
"152","272902","4",980
"153","272902","5",980
"154","272902","9",976
"155","275115","1935",975
"156","196338","1950",972
"157","199001","7",972
"158","272785","1980",969
"159","193555","1970",966
"160","57348","1945",961
"161","273653","1975",959
"162","196538","1930",957
"163","403226","1925",953
"164","272902","0",945
"165","276060","1955",945
"166","272902","2",942
"167","50348","1950",940
"168","270953","0",935
"169","273757","1925",934
"170","5837","1925",934
"171","45032","1960",931
"172","275247","1960",926
"173","272902","7",922
"174","273653","1965",922
"175","403223","0",918
"176","21970","1950",917
"177","272869","1987",908
"178","18131","1960",901
"179","270797","1940",901
"180","25472","0",898
"181","37309","1945",898
"182","275552","1935",890
"183","403226","1930",884
"184","270952","0",881
"185","195267","0",879
"186","276345","1910",875
"187","275115","1940",866
"188","273757","1930",863
"189","196538","1950",855
"190","272816","1931",855
"191","8349","1920",849
"192","274285","1935",826
"193","196538","1925",817
"194","274285","1945",811
"195","276060","1945",809
"196","194379","3",808
"197","275173","1931",806
"198","45032","1940",805
"199","273860","1962",800
"200","26254","1955",795
"201","270829","1900",795
"202","5837","1950",795
"203","196875","1960",794
"204","403226","1945",794
"205","194379","8",789
"206","194379","9",788
"207","49994","1910",787
"208","276060","1930",786
"209","403226","1920",786
"210","50348","1940",786
"211","272816","2007",781
"212","194379","1",778
"213","270853","1988",776
"214","403206","0",776
"215","194379","6",772
"216","25294","1931",772
"217","272816","1910",772
"218","194379","5",763
"219","194379","4",762
"220","25294","1950",756
"221","276060","1940",756
"222","276128","1930",755
"223","193640","3",754
"224","40122","0",751
"225","194379","7",746
"226","25294","1940",745
"227","274285","1940",743
"228","272816","1935",741
"229","193640","9",740
"230","45032","1955",736
"231","37309","1935",733
"232","272816","1928",732
"233","10957","1930",729
"234","193640","6",728
"235","193640","8",728
"236","193640","1",726
"237","194379","2",724
"238","196538","1960",724
"239","270797","1955",723
"240","196538","1920",722
"241","275173","1901",722
"242","194379","0",720
"243","193640","4",712
"244","343211","3",712
"245","193640","5",708
"246","196538","1935",704
"247","193640","7",700
"248","196338","1960",698
"249","270958","1910",697
"250","343211","6",697
"251","343211","9",696
"252","18071","1920",695
"253","25294","1915",694
"254","343211","8",694
"255","762573","0",690
"256","403225","1945",689
"257","270797","1930",685
"258","193285","3",680
"259","343211","1",677
"260","193640","2",674
"261","273757","1945",670
"262","343211","4",669
"263","194298","0",668
"264","270828","1987",668
"265","193640","0",667
"266","273289","1987",667
"267","272816","0",665
"268","276128","1915",665
"269","275552","1945",663
"270","193285","9",662
"271","193285","6",661
"272","193406","3",660
"273","343211","7",660
"274","193285","8",659
"275","403131","3",656
"276","343211","5",654
"277","195087","1965",653
"278","45032","1920",652
"279","275115","1945",649
"280","4819","1945",648
"281","18131","1940",647
"282","193285","1",647
"283","195087","1970",645
"284","5837","1960",641
"285","196538","1940",640
"286","270953","1987",638
"287","270853","1970",636
"288","343211","2",636
"289","197044","3",635
"290","193406","6",634
"291","193587","3",633
"292","273478","1930",633
"293","193285","4",632
"294","193406","9",632
"295","273757","1935",632
"296","403131","6",632
"297","193406","8",631
"298","193285","7",630
"299","403131","9",629
"300","44302","1920",625
"301","343211","0",623
"302","403131","8",623
"303","270964","1987",622
"304","273653","1955",621
"305","5837","1945",621
"306","193285","5",620
"307","275164","1965",620
"308","193406","1",619
"309","195119","1996",617
"310","195133","0",617
"311","197044","6",614
"312","403131","1",613
"313","193406","7",612
"314","195133","1987",612
"315","193536","0",611
"316","39971","1972",611
"317","403131","7",609
"318","193285","2",608
"319","193587","6",608
"320","193406","4",606
"321","197044","9",606
"322","193587","9",604
"323","10957","1910",603
"324","27182","1935",603
"325","403131","4",603
"326","403222","3",602
"327","272816","1945",601
"328","10957","1931",599
"329","193406","5",598
"330","272816","1950",598
"331","197044","1",597
"332","270957","1920",597
"333","10957","1925",596
"334","193587","8",596
"335","197044","8",596
"336","270958","1960",596
"337","403131","5",595
"338","403223","1940",595
"339","270958","1961",594
"340","403110","1930",594
"341","275518","1950",593
"342","18071","1960",592
"343","197044","7",592
"344","193587","1",591
"345","343222","3",591
"346","270853","1985",589
"347","403203","1920",589
"348","275247","1955",588
"349","18131","1930",587
"350","193952","0",587
"351","197044","4",587
"352","193285","0",586
"353","37309","1965",586
"354","193587","7",584
"355","18662","0",583
"356","193406","2",583
"357","49994","1915",582
"358","193587","4",581
"359","403131","2",581
"360","403215","3",581
"361","403222","9",581
"362","270853","1980",580
"363","273478","0",579
"364","763523","0",579
"365","197044","5",578
"366","45032","1935",578
"367","270857","2007",576
"368","273860","1987",576
"369","275552","1940",576
"370","25294","1910",575
"371","275247","1925",573
"372","403222","6",571
"373","343222","9",570
"374","273478","1955",569
"375","274117","1930",569
"376","403228","1950",569
"377","195087","1975",568
"378","273757","1920",568
"379","193587","5",567
"380","276345","1931",566
"381","270945","3",565
"382","196338","1935",564
"383","197044","2",564
"384","276060","1920",562
"385","343222","6",562
"386","193406","0",561
"387","403215","9",560
"388","403222","1",560
"389","25294","0",559
"390","403222","8",559
"391","403225","1955",559
"392","195267","1920",558
"393","403131","0",558
"394","270958","1920",557
"395","403215","6",557
"396","193587","2",556
"397","403222","7",554
"398","199023","1970",553
"399","8349","1930",553
"400","403110","1950",552
"401","18071","1950",551
"402","270958","1985",551
"403","343222","8",551
"404","270857","2008",550
"405","39971","1960",550
"406","18131","1925",549
"407","343222","1",548
"408","403215","8",547
"409","273478","1925",545
"410","403215","1",544
"411","270945","9",543
"412","26352","1910",542
"413","270945","6",542
"414","403222","4",542
"415","8349","0",542
"416","343222","7",541
"417","270829","1987",540
"418","270875","1900",538
"419","270945","8",537
"420","197303","1920",536
"421","272816","1901",535
"422","403222","5",535
"423","403226","1940",533
"424","275620","1930",532
"425","403215","7",531
"426","196538","1955",530
"427","26061","1987",530
"428","343222","4",530
"429","197044","0",529
"430","270945","1",529
"431","343222","5",528
"432","403222","2",527
"433","274415","3",526
"434","199091","1925",525
"435","403215","4",525
"436","193587","0",524
"437","403110","1920",523
"438","403215","5",523
"439","37309","1925",521
"440","274285","1920",520
"441","403223","1925",520
"442","270828","1910",517
"443","270853","1987",517
"444","196338","1925",516
"445","273860","0",515
"446","343222","2",515
"447","49994","1901",515
"448","18071","1930",514
"449","272785","1975",514
"450","270945","7",513
"451","27182","1940",513
"452","196338","1920",512
"453","270875","0",512
"454","270945","4",512
"455","5837","1915",510
"456","26254","1940",509
"457","270957","1985",509
"458","270875","1987",508
"459","403207","1987",508
"460","270945","5",506
"461","8349","1960",506
"462","403215","2",505
"463","274415","6",503
"464","32192","1940",503
"465","403222","0",501
"466","25294","1935",500
"467","270958","1965",500
"468","199091","1930",499
"469","276254","2008",499
"470","193555","1975",498
"471","274415","8",497
"472","274415","9",497
"473","270835","0",495
"474","270853","1975",495
"475","270800","1985",494
"476","343222","0",494
"477","25160","1940",493
"478","274415","1",493
"479","270945","2",492
"480","403215","0",491
"481","270957","1975",489
"482","403203","1930",488
"483","403207","1978",488
"484","272816","1960",487
"485","195087","1960",485
"486","270945","0",484
"487","18131","2009",481
"488","198687","1987",480
"489","4819","1955",480
"490","27182","1945",479
"491","274117","0",479
"492","274415","4",478
"493","272816","1965",477
"494","44302","1973",476
"495","193182","3",474
"496","403203","1899",474
"497","194737","3",473
"498","6719","1987",473
"499","270958","1989",472
"500","274627","0",472
"501","38782","0",472
"502","26254","0",471
"503","274415","5",471
"504","403204","1950",471
"505","10957","0",468
"506","403203","1925",465
"507","403228","1940",465
"508","26352","1940",464
"509","270886","3",463
"510","26352","1960",462
"511","270952","1988",461
"512","196538","1987",458
"513","274415","7",458
"514","270952","1984",457
"515","276060","1925",457
"516","274676","1920",456
"517","270964","0",455
"518","273478","1960",455
"519","763524","0",455
"520","403207","1931",454
"521","5837","1910",454
"522","272816","1989",453
"523","274415","2",453
"524","25294","1960",452
"525","403226","1955",452
"526","25160","1935",449
"527","274415","0",447
"528","275173","1925",447
"529","193182","9",446
"530","193182","8",445
"531","270958","1970",445
"532","270958","1986",445
"533","39971","1958",445
"534","403207","0",445
"535","18131","2007",444
"536","194737","8",443
"537","5837","1935",442
"538","193182","5",441
"539","403136","1975",441
"540","194737","9",440
"541","193182","6",439
"542","194737","5",439
"543","49994","1925",439
"544","270886","8",437
"545","403223","1960",437
"546","275247","1920",435
"547","275620","1925",435
"548","270886","5",434
"549","273653","1960",434
"550","39971","1969",434
"551","167821","0",433
"552","194737","6",432
"553","195511","1970",432
"554","195067","1988",431
"555","39971","1957",431
"556","763522","0",431
"557","193182","1",430
"558","270886","9",430
"559","193182","4",428
"560","194737","1",427
"561","270886","6",427
"562","273289","1989",427
"563","194737","4",426
"564","10329","1930",425
"565","18131","1920",425
"566","270828","1900",424
"567","270952","1987",424
"568","27182","1960",423
"569","273757","1950",423
"570","26061","1973",422
"571","270886","1",422
"572","403223","1930",422
"573","16920","1965",421
"574","26352","1935",421
"575","270886","4",421
"576","275164","1986",420
"577","403226","1935",420
"578","270853","1981",419
"579","272869","1985",419
"580","195133","1900",415
"581","193189","3",414
"582","275164","1960",411
"583","270835","1956",410
"584","275518","1960",410
"585","193182","2",409
"586","193182","0",408
"587","270951","1915",407
"588","18131","1945",406
"589","403228","1930",406
"590","49994","1930",406
"591","193182","7",405
"592","194737","2",405
"593","194737","0",404
"594","270886","2",402
"595","5837","1955",401
"596","196338","1945",400
"597","270886","0",399
"598","194737","7",398
"599","199091","1940",398
"600","275247","1945",398
"601","270857","2010",397
"602","276060","1935",397
"603","193189","8",393
"604","195067","1970",391
"605","198432","1930",390
"606","270829","0",389
"607","270886","7",389
"608","193189","5",388
"609","270861","1920",388
"610","273289","2006",387
"611","6719","0",387
"612","194318","3",386
"613","270881","3",386
"614","272816","2008",386
"615","55801","1950",386
"616","270928","1987",381
"617","193189","9",380
"618","21970","1930",380
"619","25294","1955",380
"620","270957","1951",378
"621","270957","2009",378
"622","274285","1925",378
"623","403223","1950",378
"624","193189","1",377
"625","343210","3",376
"626","270928","1900",375
"627","18071","2006",374
"628","276345","1940",374
"629","403136","1970",374
"630","270797","1960",373
"631","193189","4",370
"632","273289","2005",370
"633","39971","1971",370
"634","199091","2008",369
"635","403125","1955",369
"636","193189","6",368
"637","196620","1970",368
"638","32192","1935",368
"639","56273","2006",367
"640","273757","0",366
