"","RegionID","YearBuilt","CountStructures"
"1","126082","0",6925
"2","762156","0",6557
"3","264122","0",6512
"4","15046","0",6130
"5","417134","0",6030
"6","125591","0",5772
"7","38625","0",5690
"8","124618","0",5655
"9","55477","0",5474
"10","123600","0",4875
"11","623405","0",4701
"12","125047","0",4609
"13","265170","0",4357
"14","763106","0",4011
"15","125623","0",3819
"16","269015","0",3607
"17","126244","0",3499
"18","268915","0",3398
"19","269014","0",3379
"20","623416","0",3367
"21","623406","0",3347
"22","125478","0",3237
"23","125698","0",3219
"24","124381","0",3138
"25","126395","0",3094
"26","124820","0",3027
"27","416184","0",2994
"28","273801","0",2991
"29","126236","0",2877
"30","268938","0",2794
"31","269228","0",2735
"32","126218","0",2605
"33","125257","0",2569
"34","124944","0",2521
"35","396874","0",2442
"36","268962","0",2435
"37","276507","0",2359
"38","125917","0",2355
"39","623403","0",2310
"40","126481","0",2298
"41","343974","0",2241
"42","343271","0",2229
"43","274885","0",2166
"44","416371","0",2154
"45","274586","0",2089
"46","276165","0",2080
"47","268899","0",2068
"48","763107","0",2028
"49","407493","0",1964
"50","220532","0",1916
"51","396875","0",1896
"52","343331","0",1893
"53","124811","0",1888
"54","124243","0",1873
"55","125457","0",1867
"56","269087","0",1867
"57","126639","0",1849
"58","268964","0",1849
"59","417162","0",1833
"60","416182","0",1819
"61","269072","0",1814
"62","123423","0",1794
"63","125021","0",1782
"64","124921","0",1759
"65","343970","0",1694
"66","417132","0",1693
"67","417151","0",1691
"68","343962","0",1654
"69","269219","0",1652
"70","343984","0",1604
"71","126162","0",1594
"72","268979","0",1593
"73","144985","0",1570
"74","269105","0",1570
"75","268935","0",1548
"76","623401","0",1536
"77","761960","0",1509
"78","268936","0",1497
"79","269071","0",1497
"80","269093","0",1496
"81","124797","0",1476
"82","623404","0",1470
"83","416364","0",1468
"84","343306","0",1451
"85","405029","0",1450
"86","124173","0",1448
"87","343968","0",1444
"88","124068","0",1420
"89","125397","0",1409
"90","738047","0",1394
"91","343459","0",1381
"92","273314","0",1368
"93","124024","0",1365
"94","417185","0",1347
"95","623410","0",1305
"96","124085","0",1294
"97","273803","0",1282
"98","763095","0",1246
"99","417176","0",1232
"100","269216","0",1227
"101","124508","0",1226
"102","763102","0",1223
"103","269062","0",1216
"104","269186","0",1195
"105","126230","0",1193
"106","269220","0",1191
"107","738039","0",1180
"108","343436","0",1171
"109","276638","0",1161
"110","125781","0",1149
"111","343969","0",1149
"112","269207","0",1144
"113","273498","0",1140
"114","126288","0",1135
"115","25125","0",1108
"116","56772","0",1107
"117","416190","0",1102
"118","761598","0",1077
"119","343971","0",1057
"120","189693","0",1024
"121","761751","0",1010
"122","274376","0",1007
"123","268999","0",998
"124","275976","0",998
"125","760925","0",992
"126","274719","0",977
"127","126511","0",969
"128","268951","0",966
"129","738058","0",966
"130","269208","0",965
"131","416131","0",949
"132","272879","0",935
"133","417157","0",933
"134","762064","0",921
"135","269221","0",915
"136","23566","0",887
"137","343474","0",882
"138","268988","0",881
"139","124914","0",879
"140","761162","0",878
"141","343454","0",876
"142","417182","0",875
"143","416183","0",864
"144","273260","0",859
"145","343991","0",846
"146","34387","0",836
"147","276500","0",828
"148","738042","0",820
"149","269158","0",817
"150","417201","0",798
"151","417183","0",795
"152","763104","0",795
"153","125172","0",794
"154","124244","0",788
"155","269136","0",788
"156","269181","0",785
"157","269173","0",776
"158","269133","0",774
"159","417175","0",774
"160","123450","0",766
"161","269185","0",763
"162","762155","0",761
"163","123575","0",750
"164","124025","0",746
"165","416363","0",745
"166","273756","0",739
"167","417200","0",736
"168","343966","0",735
"169","343466","0",732
"170","274774","0",730
"171","126149","0",729
"172","269002","0",723
"173","264098","0",718
"174","417158","0",718
"175","343963","0",701
"176","261257","0",699
"177","273481","0",693
"178","274666","0",692
"179","269147","0",690
"180","275457","0",687
"181","124846","0",682
"182","269190","0",680
"183","343452","0",679
"184","343979","0",674
"185","273192","0",659
"186","275329","0",659
"187","738051","0",647
"188","126292","0",642
"189","761151","0",640
"190","265929","0",635
"191","761599","0",635
"192","268893","0",632
"193","190514","0",629
"194","268882","0",628
"195","268944","0",624
"196","760969","0",619
"197","251950","0",618
"198","273603","0",617
"199","273645","0",616
"200","274749","0",613
"201","417203","0",613
"202","268881","0",600
"203","761227","0",598
"204","760988","0",589
"205","763105","0",589
"206","762977","0",587
"207","269088","0",585
"208","417156","0",582
"209","268984","0",571
"210","417137","0",557
"211","738046","0",557
"212","416362","0",556
"213","343959","0",553
"214","275888","0",552
"215","275178","0",548
"216","417160","0",547
"217","269163","0",545
"218","343442","0",542
"219","276643","0",540
"220","762148","0",539
"221","269085","0",538
"222","269218","0",537
"223","417186","0",537
"224","417169","0",535
"225","124905","0",531
"226","269174","0",531
"227","738059","0",530
"228","125990","0",528
"229","276329","0",523
"230","399378","0",519
"231","275031","0",509
"232","273214","0",508
"233","343957","0",507
"234","273437","0",506
"235","416366","0",503
"236","417181","0",500
"237","273934","0",499
"238","416373","0",499
"239","275630","0",497
"240","268068","0",495
"241","417071","0",495
"242","125953","0",493
"243","275681","0",488
"244","763094","0",487
"245","417055","0",486
"246","269206","0",484
"247","417125","0",484
"248","343981","0",482
"249","269049","0",480
"250","125649","0",472
"251","125784","0",471
"252","417147","0",471
"253","272884","0",469
"254","343451","0",469
"255","274072","0",467
"256","275076","0",465
"257","125782","0",464
"258","417133","0",464
"259","275682","0",463
"260","417142","0",463
"261","273476","0",461
"262","275825","0",461
"263","416370","0",460
"264","254519","0",458
"265","623399","0",455
"266","761644","0",453
"267","761152","0",452
"268","269203","0",451
"269","416189","0",451
"270","251935","0",448
"271","274847","0",448
"272","403121","0",439
"273","416374","0",439
"274","623407","0",435
"275","343473","0",433
"276","152707","0",432
"277","126648","0",429
"278","417053","0",429
"279","417170","0",428
"280","13295","0",427
"281","268887","0",426
"282","343978","0",426
"283","763101","0",425
"284","273378","0",423
"285","343967","0",422
"286","125976","0",420
"287","269126","0",418
"288","417171","0",416
"289","416130","0",411
"290","275455","0",410
"291","416192","0",410
"292","124662","0",407
"293","260910","0",407
"294","343465","0",407
"295","268987","0",405
"296","276539","0",399
"297","417068","0",397
