"","RegionID","YearBuilt","CountStructures"
"1","125152","1985",552
"2","125152","1981",506
"3","125152","1983",478
"4","125152","1982",457
"5","126471","2007",417
"6","125152","1984",402
"7","125152","2005",361
"8","126471","1985",307
"9","126471","1986",305
"10","125152","1980",303
"11","125152","2006",293
"12","126471","1984",287
"13","126471","2004",285
"14","125152","1987",274
"15","764085","1984",273
"16","126471","2003",262
"17","764083","1956",252
"18","126471","1987",234
"19","126471","2005",226
"20","764089","1965",225
"21","125152","1975",224
"22","124569","1938",219
"23","764089","1983",217
"24","125152","2001",216
"25","764086","1974",214
"26","126471","1980",202
"27","124569","1928",198
"28","764085","1985",191
"29","126471","1981",188
"30","764086","1959",186
"31","126471","2008",177
"32","123888","2006",176
"33","126471","1983",175
"34","125152","1999",174
"35","764085","1956",171
"36","764086","1973",168
"37","764086","1960",167
"38","126471","1997",159
"39","764085","1959",157
"40","764085","1957",156
"41","126471","1988",153
"42","125152","2002",152
"43","764093","1953",150
"44","123888","2005",149
"45","764091","1973",149
"46","126471","1994",146
"47","126471","1996",143
"48","764083","1955",141
"49","125152","1974",140
"50","125152","2003",140
"51","124569","1923",137
"52","124569","1953",136
"53","126471","1999",136
"54","126471","2000",135
"55","249797","1957",135
"56","764086","1965",133
"57","126471","1993",131
"58","764082","1918",131
"59","126471","1998",130
"60","124569","1952",128
"61","126471","1990",126
"62","262277","1972",126
"63","764082","1928",126
"64","249797","1958",125
"65","764085","1958",125
"66","764086","1964",124
"67","124569","1950",123
"68","126471","1974",122
"69","764088","1976",122
"70","125152","1973",119
"71","124569","1908",116
"72","123888","2004",115
"73","764086","1962",115
"74","126471","1995",114
"75","764085","1955",114
"76","764087","1979",113
"77","124569","1940",112
"78","125855","1956",112
"79","764082","0",112
"80","764086","1984",112
"81","125152","2000",111
"82","126471","2002",110
"83","764086","1972",110
"84","764088","1983",110
"85","764085","1960",107
"86","124569","1955",105
"87","125152","1994",104
"88","126471","1973",104
"89","764085","1986",103
"90","764086","1963",103
"91","764086","1983",101
"92","126471","1992",99
"93","262277","1984",99
"94","764083","1954",99
"95","764085","1983",98
"96","125152","1986",97
"97","764083","1959",97
"98","126471","1979",96
"99","126471","1989",96
"100","126471","2006",96
"101","125152","1970",95
"102","126471","1991",95
"103","125152","1979",94
"104","126471","2001",89
"105","764086","1967",88
"106","764081","1928",87
"107","124569","1918",86
"108","764088","1989",86
"109","124569","1951",85
"110","125152","1978",85
"111","123888","2007",83
"112","764086","1971",83
"113","764085","1965",82
"114","764087","1986",82
"115","125152","0",81
"116","764081","1918",81
"117","764083","1957",81
"118","764087","1987",81
"119","764088","1984",81
"120","764091","0",81
"121","764093","0",81
"122","123888","1998",80
"123","764086","1961",80
"124","764089","1982",80
"125","124569","1948",79
"126","764087","1984",79
"127","764085","1962",78
"128","764086","1966",78
"129","764088","1988",78
"130","764081","1908",77
"131","764085","1961",77
"132","764086","1982",75
"133","764093","1940",74
"134","124569","1941",73
"135","125152","1977",73
"136","764081","1943",73
"137","123888","0",71
"138","123888","2014",71
"139","126471","1978",71
"140","764085","1972",71
"141","764092","2006",71
"142","249797","1969",70
"143","262277","1965",70
"144","124569","1946",69
"145","764081","1938",69
"146","764085","1964",69
"147","764086","1975",69
"148","764092","1938",69
"149","764093","1943",69
"150","764085","1974",68
"151","764086","1977",67
"152","123888","1999",66
"153","125152","1997",66
"154","126471","1982",66
"155","249797","1984",66
"156","764088","1978",66
"157","123888","2013",65
"158","126471","0",65
"159","126471","2014",65
"160","124569","1956",64
"161","764085","1971",64
