"","RegionID","YearBuilt","LU_desc","CountStructures"
"1","125152","1985","CONDOMINIUM",447
"2","125152","1981","CONDOMINIUM",323
"3","126471","2007","CONDOMINIUM",322
"4","125152","1982","CONDOMINIUM",295
"5","125152","2005","CONDOMINIUM",277
"6","125152","1983","CONDOMINIUM",260
"7","764083","1956","SINGLE FAMILY",243
"8","125152","1987","CONDOMINIUM",238
"9","764089","1965","CONDOMINIUM",214
"10","764086","1974","SINGLE FAMILY",212
"11","125152","2006","CONDOMINIUM",209
"12","124569","1938","SINGLE FAMILY",208
"13","764089","1983","CONDOMINIUM",207
"14","126471","1985","SINGLE FAMILY RESIDENTIAL",203
"15","125152","1980","CONDOMINIUM",191
"16","124569","1928","SINGLE FAMILY",189
"17","125152","1984","CONDOMINIUM",187
"18","764086","1959","SINGLE FAMILY",186
"19","125152","1984","SINGLE FAMILY RESIDENTIAL",183
"20","126471","1986","SINGLE FAMILY RESIDENTIAL",179
"21","125152","1983","SINGLE FAMILY RESIDENTIAL",175
"22","125152","2001","CONDOMINIUM",171
"23","125152","1975","CONDOMINIUM",170
"24","764085","1956","SINGLE FAMILY",169
"25","764086","1973","SINGLE FAMILY",166
"26","764086","1960","SINGLE FAMILY",165
"27","123888","2006","SINGLE FAMILY RESIDENTIAL",161
"28","126471","2003","SINGLE FAMILY RESIDENTIAL",160
"29","126471","2004","SINGLE FAMILY RESIDENTIAL",160
"30","764085","1984","SINGLE FAMILY",159
"31","764085","1959","SINGLE FAMILY",157
"32","126471","1984","SINGLE FAMILY RESIDENTIAL",154
"33","764085","1957","SINGLE FAMILY",154
"34","764091","1973","CONDOMINIUM",148
"35","764093","1953","SINGLE FAMILY",144
"36","764083","1955","SINGLE FAMILY",137
"37","123888","2005","SINGLE FAMILY RESIDENTIAL",136
"38","125152","1981","SINGLE FAMILY RESIDENTIAL",136
"39","126471","1980","CONDOMINIUM",134
"40","124569","1953","SINGLE FAMILY",133
"41","126471","2008","CONDOMINIUM",133
"42","124569","1923","SINGLE FAMILY",131
"43","764086","1965","SINGLE FAMILY",130
"44","249797","1957","SINGLE FAMILY",129
"45","124569","1952","SINGLE FAMILY",127
"46","126471","1997","SINGLE FAMILY RESIDENTIAL",126
"47","764085","1985","SINGLE FAMILY",126
"48","764085","1958","SINGLE FAMILY",125
"49","764086","1964","SINGLE FAMILY",124
"50","125152","1982","SINGLE FAMILY RESIDENTIAL",122
"51","262277","1972","SINGLE FAMILY",122
"52","764082","1918","SINGLE FAMILY",121
"53","126471","1987","SINGLE FAMILY RESIDENTIAL",120
"54","126471","1994","SINGLE FAMILY RESIDENTIAL",119
"55","249797","1958","SINGLE FAMILY",118
"56","124569","1950","SINGLE FAMILY",115
"57","764082","1928","SINGLE FAMILY",115
"58","764085","1955","SINGLE FAMILY",114
"59","764086","1962","SINGLE FAMILY",113
"60","126471","2005","SINGLE FAMILY RESIDENTIAL",112
"61","764086","1972","SINGLE FAMILY",110
"62","764088","1976","SINGLE FAMILY",110
"63","125855","1956","SINGLE FAMILY RESIDENTIAL",109
"64","126471","1999","SINGLE FAMILY RESIDENTIAL",109
"65","126471","1993","SINGLE FAMILY RESIDENTIAL",107
"66","764087","1979","CONDOMINIUM",107
"67","125152","1999","CONDOMINIUM",104
"68","126471","1981","CONDOMINIUM",104
"69","126471","1983","SINGLE FAMILY RESIDENTIAL",104
"70","764085","1960","SINGLE FAMILY",103
"71","124569","1908","SINGLE FAMILY",102
"72","124569","1940","SINGLE FAMILY",102
"73","764086","1963","SINGLE FAMILY",102
"74","126471","1984","CONDOMINIUM",99
"75","764085","1986","SINGLE FAMILY",99
"76","125152","2003","CONDOMINIUM",98
"77","126471","1996","SINGLE FAMILY RESIDENTIAL",96
"78","764083","1954","SINGLE FAMILY",95
"79","764088","1983","SINGLE FAMILY",95
"80","125152","2002","CONDOMINIUM",94
"81","126471","1988","SINGLE FAMILY RESIDENTIAL",94
"82","126471","1998","SINGLE FAMILY RESIDENTIAL",94
"83","124569","1955","SINGLE FAMILY",93
"84","126471","2003","MOBILE HOMES",93
"85","764083","1959","SINGLE FAMILY",93
"86","126471","1992","SINGLE FAMILY RESIDENTIAL",89
"87","764085","1983","SINGLE FAMILY",89
"88","123888","2004","SINGLE FAMILY RESIDENTIAL",88
"89","126471","1995","SINGLE FAMILY RESIDENTIAL",88
"90","125152","1974","CONDOMINIUM",87
"91","126471","2005","MOBILE HOMES",87
"92","764086","1967","SINGLE FAMILY",87
"93","126471","1987","CONDOMINIUM",86
"94","124569","1951","SINGLE FAMILY",84
"95","764088","1989","SINGLE FAMILY",84
"96","126471","1990","SINGLE FAMILY RESIDENTIAL",83
"97","764086","1971","SINGLE FAMILY",83
"98","126471","2002","SINGLE FAMILY RESIDENTIAL",82
"99","764087","1986","SINGLE FAMILY",82
"100","764087","1987","SINGLE FAMILY",81
"101","126471","1974","CONDOMINIUM",80
"102","126471","1989","SINGLE FAMILY RESIDENTIAL",80
"103","764086","1961","SINGLE FAMILY",80
"104","764081","1928","SINGLE FAMILY",79
"105","764083","1957","SINGLE FAMILY",79
"106","764087","1984","SINGLE FAMILY",79
"107","124569","1918","SINGLE FAMILY",78
"108","764085","1965","SINGLE FAMILY",78
"109","764086","1966","SINGLE FAMILY",78
"110","126471","1991","SINGLE FAMILY RESIDENTIAL",77
"111","764085","1961","SINGLE FAMILY",77
"112","764085","1962","SINGLE FAMILY",77
"113","123888","2007","SINGLE FAMILY RESIDENTIAL",76
"114","124569","1948","SINGLE FAMILY",76
"115","764089","1982","CONDOMINIUM",76
"116","125152","2006","SINGLE FAMILY RESIDENTIAL",75
"117","126471","2004","MOBILE HOMES",75
"118","125152","1986","SINGLE FAMILY RESIDENTIAL",74
"119","126471","2006","SINGLE FAMILY RESIDENTIAL",74
"120","764088","1984","SINGLE FAMILY",73
"121","764088","1988","SINGLE FAMILY",73
"122","125152","1970","CONDOMINIUM",72
"123","126471","1981","SINGLE FAMILY RESIDENTIAL",72
"124","126471","2007","SINGLE FAMILY RESIDENTIAL",72
"125","764085","1984","CONDOMINIUM",72
"126","123888","2014","SINGLE FAMILY RESIDENTIAL",71
"127","764081","1918","SINGLE FAMILY",70
"128","125152","1994","CONDOMINIUM",69
"129","764085","1964","SINGLE FAMILY",68
"130","764086","1984","SINGLE FAMILY",68
"131","125152","1979","SINGLE FAMILY RESIDENTIAL",67
"132","764085","1972","SINGLE FAMILY",67
"133","764086","1975","SINGLE FAMILY",67
"134","124569","1941","SINGLE FAMILY",66
"135","124569","1946","SINGLE FAMILY",66
"136","262277","1965","SINGLE FAMILY",66
"137","125152","1980","SINGLE FAMILY RESIDENTIAL",65
"138","126471","1986","CONDOMINIUM",65
"139","764086","1977","SINGLE FAMILY",65
"140","764093","1940","SINGLE FAMILY",65
"141","764086","1982","SINGLE FAMILY",64
"142","764088","1982","SINGLE FAMILY",64
"143","764092","2006","CONDOMINIUM",64
"144","764093","1943","SINGLE FAMILY",64
"145","125152","2000","SINGLE FAMILY RESIDENTIAL",63
"146","125152","2005","SINGLE FAMILY RESIDENTIAL",63
"147","764081","1908","SINGLE FAMILY",63
"148","764081","1943","SINGLE FAMILY",63
"149","764086","1968","SINGLE FAMILY",63
"150","123888","2013","SINGLE FAMILY RESIDENTIAL",62
"151","125152","1985","SINGLE FAMILY RESIDENTIAL",62
"152","126471","2014","SINGLE FAMILY RESIDENTIAL",61
"153","764086","1992","SINGLE FAMILY",61
"154","123888","1998","SINGLE FAMILY RESIDENTIAL",60
"155","125152","1973","CONDOMINIUM",60
"156","126471","2001","SINGLE FAMILY RESIDENTIAL",60
"157","764085","1963","SINGLE FAMILY",60
"158","764085","1973","SINGLE FAMILY",60
"159","764087","1973","SINGLE FAMILY",60
"160","764092","1938","SINGLE FAMILY",59
"161","764085","1971","SINGLE FAMILY",58
"162","764088","1978","SINGLE FAMILY",58
"163","124569","1956","SINGLE FAMILY",57
"164","126471","2000","SINGLE FAMILY RESIDENTIAL",56
"165","764086","1978","SINGLE FAMILY",56
"166","764086","1983","SINGLE FAMILY",56
"167","764088","1986","SINGLE FAMILY",56
"168","262277","1961","SINGLE FAMILY",55
"169","262277","1967","SINGLE FAMILY",55
"170","764081","1938","SINGLE FAMILY",55
"171","764081","1950","SINGLE FAMILY",55
"172","126471","1979","CONDOMINIUM",54
"173","262277","1971","SINGLE FAMILY",54
"174","262277","1983","SINGLE FAMILY",54
"175","764081","1942","SINGLE FAMILY",54
"176","764086","1969","SINGLE FAMILY",54
"177","764088","1977","SINGLE FAMILY",54
"178","125152","1995","SINGLE FAMILY RESIDENTIAL",53
"179","125855","1973","SINGLE FAMILY RESIDENTIAL",53
"180","764081","1948","SINGLE FAMILY",53
"181","126471","1982","SINGLE FAMILY RESIDENTIAL",52
"182","764086","1970","SINGLE FAMILY",52
"183","764088","1959","SINGLE FAMILY",52
"184","764088","1972","SINGLE FAMILY",52
"185","764088","1985","SINGLE FAMILY",52
"186","764091","1984","CONDOMINIUM",52
"187","764093","1938","SINGLE FAMILY",52
"188","124569","1900","SINGLE FAMILY",51
"189","124569","1954","SINGLE FAMILY",51
"190","125152","1978","SINGLE FAMILY RESIDENTIAL",51
"191","125152","1997","SINGLE FAMILY RESIDENTIAL",51
"192","262277","1966","SINGLE FAMILY",51
"193","262277","1968","SINGLE FAMILY",51
"194","764082","1908","SINGLE FAMILY",51
"195","764085","1987","SINGLE FAMILY",51
"196","764088","1987","SINGLE FAMILY",51
"197","764089","1938","SINGLE FAMILY",51
"198","123888","1999","SINGLE FAMILY RESIDENTIAL",50
"199","125152","1999","SINGLE FAMILY RESIDENTIAL",50
"200","126471","1978","SINGLE FAMILY RESIDENTIAL",50
"201","764085","1968","SINGLE FAMILY",50
"202","124569","1933","SINGLE FAMILY",49
"203","125152","1977","SINGLE FAMILY RESIDENTIAL",49
"204","764085","1966","SINGLE FAMILY",49
"205","764086","1976","SINGLE FAMILY",49
"206","764086","1985","SINGLE FAMILY",49
"207","764088","1975","SINGLE FAMILY",49
"208","125152","1998","SINGLE FAMILY RESIDENTIAL",48
"209","126471","1973","CONDOMINIUM",48
"210","126471","1980","SINGLE FAMILY RESIDENTIAL",48
"211","262277","1984","CONDOMINIUM",48
"212","764082","1938","SINGLE FAMILY",48
"213","764085","1981","SINGLE FAMILY",48
"214","764086","1958","SINGLE FAMILY",48
"215","764088","1990","SINGLE FAMILY",48
"216","764091","0","PARKING LOTS, MOBILE HOME PARKS",48
"217","123888","2008","SINGLE FAMILY RESIDENTIAL",47
"218","126471","1977","SINGLE FAMILY RESIDENTIAL",47
"219","249797","1972","SINGLE FAMILY",47
"220","262277","1963","SINGLE FAMILY",47
"221","262277","1984","SINGLE FAMILY",47
"222","764088","1971","SINGLE FAMILY",47
"223","764088","1980","SINGLE FAMILY",47
"224","764092","1948","SINGLE FAMILY",47
"225","124569","1936","SINGLE FAMILY",46
"226","125152","2002","SINGLE FAMILY RESIDENTIAL",46
"227","262277","1973","SINGLE FAMILY",46
"228","764083","1953","SINGLE FAMILY",46
"229","249797","1960","SINGLE FAMILY",45
"230","764089","1979","SINGLE FAMILY",45
"231","123888","2012","SINGLE FAMILY RESIDENTIAL",44
"232","124569","1925","SINGLE FAMILY",44
"233","125152","1973","SINGLE FAMILY RESIDENTIAL",44
"234","262277","1959","SINGLE FAMILY",44
"235","764085","1988","SINGLE FAMILY",44
"236","764086","1983","CONDOMINIUM",44
"237","764088","1981","SINGLE FAMILY",44
"238","124569","1943","SINGLE FAMILY",43
"239","764083","1958","SINGLE FAMILY",43
"240","764088","1973","SINGLE FAMILY",43
"241","764088","1994","SINGLE FAMILY",43
"242","126471","1985","CONDOMINIUM",42
"243","126471","1985","MOBILE HOMES",42
"244","126471","2004","CONDOMINIUM",42
"245","249797","1985","SINGLE FAMILY",42
"246","764086","1989","SINGLE FAMILY",42
"247","764088","1979","SINGLE FAMILY",42
"248","124569","1957","SINGLE FAMILY",41
"249","125152","1996","SINGLE FAMILY RESIDENTIAL",41
"250","125152","2004","SINGLE FAMILY RESIDENTIAL",41
"251","125855","1972","SINGLE FAMILY RESIDENTIAL",41
"252","262277","1962","SINGLE FAMILY",41
"253","262277","1964","SINGLE FAMILY",41
"254","262277","1970","SINGLE FAMILY",41
"255","764083","1962","SINGLE FAMILY",41
"256","764085","1950","SINGLE FAMILY",41
"257","764085","1978","SINGLE FAMILY",41
"258","123888","1960","SINGLE FAMILY RESIDENTIAL",40
"259","124569","1913","SINGLE FAMILY",40
"260","124569","1959","SINGLE FAMILY",40
"261","125855","1958","SINGLE FAMILY RESIDENTIAL",40
"262","126471","1973","SINGLE FAMILY RESIDENTIAL",40
"263","249797","1971","SINGLE FAMILY",40
"264","764087","1971","SINGLE FAMILY",40
"265","124569","1942","SINGLE FAMILY",39
"266","125152","2000","CONDOMINIUM",39
"267","125152","2001","SINGLE FAMILY RESIDENTIAL",39
"268","125855","1974","SINGLE FAMILY RESIDENTIAL",39
"269","262277","1969","SINGLE FAMILY",39
"270","764081","1933","SINGLE FAMILY",39
"271","764081","1940","SINGLE FAMILY",39
"272","764081","1951","SINGLE FAMILY",39
"273","764082","2007","SINGLE FAMILY",39
"274","764085","1969","SINGLE FAMILY",39
"275","764089","1999","CONDOMINIUM",39
"276","764093","0","PARKING LOTS, MOBILE HOME PARKS",39
"277","126471","1979","SINGLE FAMILY RESIDENTIAL",38
"278","126471","1986","MOBILE HOMES",38
"279","249797","1959","SINGLE FAMILY",38
"280","249797","1969","MULTI-FAMILY < 10",38
"281","249797","1984","SINGLE FAMILY",38
"282","764081","1946","SINGLE FAMILY",38
"283","764082","1900","SINGLE FAMILY",38
"284","764082","1940","SINGLE FAMILY",38
"285","764085","1977","SINGLE FAMILY",38
"286","764087","1972","SINGLE FAMILY",38
"287","764088","1991","SINGLE FAMILY",38
"288","764093","1955","SINGLE FAMILY",38
"289","124569","1939","SINGLE FAMILY",37
"290","764081","1900","SINGLE FAMILY",37
"291","764081","1941","SINGLE FAMILY",37
"292","764082","0","PARKING LOTS, MOBILE HOME PARKS",37
"293","764083","1960","SINGLE FAMILY",37
"294","764085","1954","SINGLE FAMILY",37
"295","764085","1974","SINGLE FAMILY",37
"296","764087","1988","SINGLE FAMILY",37
"297","764093","1954","SINGLE FAMILY",37
"298","123888","1955","SINGLE FAMILY RESIDENTIAL",36
"299","123888","1995","SINGLE FAMILY RESIDENTIAL",36
"300","124569","1935","SINGLE FAMILY",36
"301","125152","1974","SINGLE FAMILY RESIDENTIAL",36
"302","125855","1957","SINGLE FAMILY RESIDENTIAL",36
"303","125855","1979","SINGLE FAMILY RESIDENTIAL",36
"304","125855","1985","SINGLE FAMILY RESIDENTIAL",36
"305","126471","2000","CONDOMINIUM",36
"306","764085","1985","CONDOMINIUM",36
"307","764086","1984","CONDOMINIUM",36
"308","764093","1950","SINGLE FAMILY",36
"309","123888","1956","SINGLE FAMILY RESIDENTIAL",35
"310","123888","1983","SINGLE FAMILY RESIDENTIAL",35
